id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
19,DoZorro AI tool,Service,Detection systems,https://ti-ukraine.org/en/news/dozorro-artificial-intelligence-to-find-violations-in-prozorro-how-it-works/,,"The monitoring portal DoZorro is a platform where each participant in the system (supplier, customer, controlling authority, citizen) can provide feedback to the government customer or supplier. The new version of the platform provides software, which through its AI capabilities, is able to identify tenders with a high risk of corruption. The results of the beta test of this system were that 26% more tenders with unfounded selection of the winner were identified, 37% more tenders with groundless disqualification, and 298% more with participants' conspiracy. The system is intended to complement and support the work done by experts - making their work more efficient.",National,Ukraine,ProZorro,Governmental,2016,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In production,Large
20,Kommers (KAI) semantics check tool,Service,Validation and benchmarking,http://www.primona.se/en/public-sector/our-modules-for-public-sector/kommers-kai/,,An AI assistant is being integrated into the Primonas Kommers e-procurement platform. This tool can do a semantics check on requirements and other text in the procurement material which will decrease the risk of bidders misunderstanding the tender material and hence reduce the bidder risk. Kommers has public sector (as well as private sector) clients that will be able to access this functionality.,National,Sweden,Primona,Private,2018,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Unknown
21,"ANAC, Machine learning tool",Service,Detection systems,https://www.slideshare.net/FabianaLanotte/machine-learning-on-public-procurement-open-data-anac-case-study,,The tool uses machine learning to identify hidden relationships between public administrations and private companies using unstructured information (such as public procurement titles) from the open data on public procurement.,National,Italy,ANAC,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In production,Unknown
22,State Treasury eInvoicing plans,Project,Process automation,https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/2018/06/13/Finland+is+using+AI+in+attempt+to+achieve+one-hundred+per+cent+eInvoicing,,"The State Treasury of Finland plans to automate eInvoice processing by utilising AI and robotics. It is believed that AI tools could analyse an invoice within seconds to find the necessary information such as an agreement number and amount. Currently, Finland has identified the most significant challenge to be that IT companies and other operators need to be aware of what data needs to be in the correct place to achieve ultimate automation goals.",National,Finland,State Treasury of Finland,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Unknown
23,"YPO, Procurement Information Provider",Service,Chatbot,https://www.ukauthority.com/articles/ypo-launches-procurement-chatbot/,,YPO has introduced a chatbot - the Procurement Information Provider (PIP) to help public sector buyers navigate their way through YPO's services and discover the frameworks on offer. The chatbot can provide information from other areas of the website and direct users to relevant procurement teams.,National,United Kingdom,YPO,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In production,Unknown
24,"Hansel Oy, Explore state spending",Service,Data access and reuse,https://tutkihankintoja.fi/?lang=en,,"The ""explore state spending"" website (https://tutkihankintoja.fi/?lang=en) allows citizens and companies to explore data on government spending. Users can search according to different types of procurement spending (e.g. ICT procurement, administrative services, machinery, equipment and transport equipment, etc). AI technology is used in order to categorise the procurement spending. Other forms of analysis using AI technologies are also done on the data for the benefit just of procurement authorities.",National,Finland,Hansel Oy,Private,2019,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In production,Unknown
25,"Hansel Oy, eNest solution",Service,Validation and benchmarking,https://www.handi.fi/projektit/procurement-data/?lang=en,,"Under the new eNest solution, verification of information provided by suppliers against official records will be done automatically during the tendering process. The system will use the European Single Procurement Document as a standard, which will mean that service providers do not need to attach official records to tenders.",National,Finland,Hansel Oy,Private,2017,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Unknown
26,"Palkeet, RPA Project",Service,Process automation,https://www.palkeet.fi/ajankohtaista/pohjoismaat-kansainvalista-rpa-karkea.html,,The Finnish Government Shared Services Centre for Finance and HR (Palkeet) have delivered a project aimed at automating business processes with software robotics. Tasks that have been automated include purchase invoice validation and supplier register maintenance etc. This was the first major Robotic Process Automation (RPA) implementation in Finnish public sector. The project is part of a wider digitalisation initiative by the Finnish government.,National,Finland,Finnish Government Shared Services Centre for Finance and HR,Governmental,2017,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Unknown
27,"Ministry of Finance, mTender",Service,Process automation,https://mtender.gov.md/,,"With support from the EBRD, the Moldovan Government developed an open source electronic procurement system for electronic open tender, reverse auctions, aggregated procurement planning and online framework agreements. The system makes use of the open contracting data standard. It provides a fully digitised procurement planning tool, which reportedly automates (using robotic process automation) tracking of execution of contracts.",National,Moldova,Ministry of Finance,Governmental,2016,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In production,Unknown
28,"Deutsche Bahn, 3D Printing",Service,3D printing,https://www.deutschebahn.com/en/Digitalization/DB_Digital/productworld/3dprint-1214672,,"At the end of 2015, Deutsche Bahn made use of its first 3D printed part - a coat hook. Since then, DB has printed more than 4,500 spare parts and other products. By the end of 2018, 15,000 were expected to have been produced. It prints spare parts for older vehicles or systems in the infrastructure sector, which are no longer or only with difficulty deliverable. These include, for example, ventilation grilles, headrests, coat hooks or cable boxes.",National,Germany,Deutsche Bahn,Governmental,2015,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Unknown
29,"Nederlandse Sporten, 3D Printing",Service,3D printing,https://nieuws.ns.nl/ns-zet-stap-in-de-wereld-van-3d-printen/,,"The partnership has actually been in place for several months. It initially allowed Dutch Railways to learn about and experiment with the possibilities of 3D printing and the quality of the parts that it could produce. The railway system selected and re-engineered a few parts, which were then 3D printed by DiManEx to the specifications provided by Dutch Railways. Mandatory quality control tests were then performed, and the approved part was then used in trains.",National,Netherlands,Nederlandse Sporten,Private,2018,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Unknown
30,"Material Stock Logistic Command of the Dutch Army, 3D Printing roadmap",Service,3D printing,https://www.dimanex.com/2018/05/14/dutch-army-starts-cooperation-with-dimanex-to-solve-spare-part-supply-challenges-with-an-end-to-end-service-for-3d-manufacturing/,,"Additive Manufacturing (AM), also known as ""3D printing,"" is a technology that has advanced considerably in recent years. The Dutch Ministry of Defense has been experimenting with the technology for some time. Their ambition is to embed AM into their operations in a streamlined manner. In order to do so, the army's Material Stock Logistic Command (MatLogCo) has recently presented a roadmap for implementation. A new AM Center will be created within this command division to foster capacity and knowledge building, aiming to cover the institution's needs in the field of AM.",National,Netherlands,Material Stock Logistic Command of the Dutch Army,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In development,Unknown
31,"Agency for Nature and Forestry (ANB) and Department for Mobility and Public Works (MOW), Public spatial planning projects",Project,Virtual models,http://www.innovatieveoverheidsopdrachten.be/en/projects/public-spatial-planning-projects-augmented-and-virtual-reality,,"The agencies are looking into how AR/VR could be used to visualise ""Large-scale road works, urban development projects, landscape preservation or nature development project"". These technologies would be used to enable citizens to experience the project in a virtual way. The feedback from citizens from this experience would be ""collected and lead to useful input and timely adjustments"".",National,Belgium,Agency for Nature and Forestry (ANB) and Department for Mobility and Public Works (MOW),Governmental,2018,Yes,,General public services,Procurement,Yes,No,Augmented Reality / Virtual Reality,In development,Unknown
32,"Helsinki city council, Urban planning project",Service,Virtual models,https://vttblog.com/2018/01/08/augmented-reality-urban-data-and-the-related-opportunities/,,"VTT Technical Research Centre in Finland, has developed mobile AR tools which allow city planners to see the buildings that they are providing or declining approval for. These tools have been used by Helsinki city council planners when assessing the development of several buildings within the city, including a tower and a hotel.",National,Finland,Helsinki City Council,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Augmented Reality / Virtual Reality,In production,Unknown
33,"Digibygg, Digitised construction project",Service,Virtual models,http://www.bygg.no/article/1381510?image=dp-image121202-1381521,,"The Digibygg project is a pilot project for testing the use of a number of different digital tools for construction. As part of this project a utility station and 24-hour rest room was constucted in a project that was described as the ""most digital building project of all time"". One of the digital technologies tested was the use of VR and AR in order to visualise the building.",National,Norway,Digibygg,Governmental,2019,Yes,,General public services,Procurement,Yes,No,Augmented Reality / Virtual Reality,Pilot,Unknown
34,"Statsbygg, Imerso pilot project",Service,Virtual models,https://www.dn.no/morgendagens-naringsliv/imerso/statsbygg/sarah-muller/hun-sjekket-hver-millimeter-av-12000-kvadratmeter-pa-en-dag/2-1-428362,,"This project with Imerso involves the use of digital models to ensure that the building being constructed matches the initial plans. The project makes use of laser scanners to check the conformity of the building. Statsbygg believe that this technology can produce savings ""in the hundred million"" as it can prevent snowballing errors in construction.",National,Norway,Statsbygg,Governmental,2018,Yes,,General public services,Procurement,Yes,No,Internet of Things,Pilot,Unknown
35,"Competition and Markets Authority, Cartel screening tool",Service,Auditing and logging,https://www.gov.uk/government/publications/screening-for-cartels-tool-for-procurers,,"The Competition and Markets Authority has produced a free tool to help spot unusual bidder behaviour and pricing patterns identified in past cartels. It will indicate which, if any, of your procurement exercises show any signs of bid-rigging.",National,UK,Competition and Markets Authority,Governmental,2017,Yes,,General public services,Procurement,Yes,No,Data analytics,In production,Unknown
36,Estonian Blockchain Technology,Project,Cybersecurity,https://toolbox.estonia.ee/media/1921,,"2017 - data embassy in Luxembourg was established. Data Embassy is an extension in the cloud of the Estonian government, which means the state owns server resources outside its territorial boundaries. This is an innovative concept for handling state information, since states usually store their information within their physical boundaries. Data Embassy resources are under Estonian state control. They are secured against cyberattacks or crisis situations with Blockchain technology and are capable of not only providing data backups, but also operating the most critical services.",National,Estonia,Estonian Government,Governmental,2017,Yes,,General public services,Procurement,Yes,Yes,Blockchain,In production,Unknown
37,SUVE,Service,Chatbot,https://www.valitsus.ee/en/news/chatbot-will-help-you-find-answers-your-questions-about-crisis,,"The websites of several government agencies now have Suve, an automated chatbot which provides answers to frequently asked questions about the emergency situation and the coronavirus. The chatbot provides answers to questions in Estonian and English and uses information from the official sources of government agencies.",National,Estonia,Estonian Government,Governmental,2020,Yes,,Health,Information,No,No,Artificial Intelligence,In production,Unknown
38,Kratid,Service,Predictive systems,https://www.kratid.ee/in-english,,"The Information System Authority of Estonia is using machine learning for detecting anomalies and incidents on the traffic of the Estonian data exchange layer - X-Road.  Predictive analytics is used to decide where to send the police for traffic regulation. The system is well used in cities; however the algorithm does not yet work well in rural areas.  The Estonian Unemployment Insurance Fund matches job seekers with open positions using AI. It helps job seekers get matched with the right job. The current job matching algorithm is developed further with job seeker profiling algorithm.  Estonian Agricultural Registers and Information Board is using machine learning to detect land mowing. Satellite images are analysed to detect whether agricultural land has been mowed. This is necessary as mowing land is one of the requirements for receiving government grants. Before satellite image analysis this work was carried out manually using on-spot control.  In line with the Digital Agenda 2020 for Estonia, the government encourages the use of AI applications and test projects. The aim is to have at least 50 use cases in public sector by 2020. Interestingly, Estonia has also launched a task force to collect ideas from the general public on how to best make use of AI for the development of Estonia's economy and state. ",National,Estonia,Information System Authority,Governmental,2019,Yes,,General public services,Procurement,Yes,No,Artificial Intelligence,In production,Unknown
39,Skrinja 2.0,Service,Business intelligence,https://2tm.si/the-b2-college-takes-part-in-the-skrinja-2-0-project/?lang=en,,"The project will result in the creation of an information platform as a service for other bodies of state administration. Business intelligence will provide users with quality information for making optimal decisions. It is also planned to create a Professional Support Centre, in which special attention will be paid to strict adherence to data protection standards and rules.",National,Slovenia,Ministry of State Administration,Governmental,2019,Yes,,General public services,Procurement,Yes,No,Data analytics,In development,Unknown
40,PIANOo,Service,Auditing and logging,https://www.tenderned.nl/cms/nieuws/pianoo-maakt-wekelijks-analyse-aanbestedingen,,"PIANOo maps out weekly tender behaviour globally on the basis of announcements on TenderNed. What happens to new, modified and cancelled tenders? PIANOo focuses on European tenders (over 85% of the published contracts).",National,Netherlands,PIANOo,Private,2019,Yes,,General public services,Procurement,Yes,Yes,Data analytics,In production,Unknown
41,"Digiwhist - The Digital Whistleblower. Fiscal Transparency, Risk Assessment and Impact of Good Governance Policies Assessed",Project,Auditing and logging,https://cordis.europa.eu/project/id/645852,,"This H2020 funded project focussed on the systematic collection, structuring, analysis, and broad dissemination of information on public procurement. It made use of big data analytics to detect potential conflicts of interest in the system of public procurement and to identify system vulnerabilities.",International,European Union,University of Cambridge,Consortium,2015,No,2018,General public services,Procurement,Yes,Yes,Data analytics,In production,Unknown
