id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
23,Czech Mapybezbarier,Service,Data access and reuse,https://mapybezbarier.docs.apiary.io/#,,"The API of accessibility maps mapybezbarier.cz is used to export map objects to XML, JSON and CSV format. An SPARQL endpoint is available for the RDF format.",National,Czechia,Maps without Barries,Governmental,2016,Yes,,Social protection,Data access,No,No,API,In production,Unknown
24,Czech TARIC Custom Administration,Service,Service integration,http://app.celnisprava.cz/TARICWS/PublicService.asmx?WSDL,,API  of the Czech TARIC custom administration.,National,Czechia,Customs administration,Governmental,2012,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
25,Open Data CEDR III,Service,Data access and reuse,http://cedr.mfcr.cz/cedr3internetv419/OpenData/DocumentationPage.aspx,,The General Financial Directorate publishes on this website the data contained in the Central Register of Subsidies (CEDR III) in machine-readable format.,National,Czechia,General Financial Directorate,Governmental,2012,Yes,,Social protection,Data access,No,No,API,In production,Unknown
26,Copenhagen parking,Service,Service integration,https://cphsolutionslab.dk/content/3-news/10-the-road-to-smart-parking/smart-p-folder-ny-002.pdf,,Copenhagen parking,Local,Denmark,City of Copenhagen,Governmental,2017,Yes,,Transport,Data access,No,No,API,In production,Unknown
27,Denmark Adresses Web API (DAWA),Service,Service integration,http://dawa.aws.dk/dok/api,,"Denmark's Addresses Web API (DAWA) exhibits data and functionality regarding Denmark's addresses. DAWA can be used to establish address data and functionality in IT systems. The target audience for this website is developers who want to implement address data and functionality in their IT systems. In addition to the address area, DAWA also contains data and functionality regarding areas that are closely related to the address. These are the areas Denmark's Administrative Geographical Division (DAGI), the Land Registry Map, the Building and Housing Register and Danish Place Names.",National,Denmark,Agency for Data Supply and Efficiency,Governmental,2014,Yes,,General public services,Data access,No,No,API,In production,Unknown
28,Denmark Central Company Registry,Service,Service integration,https://data.virk.dk/datakatalog/erhvervsstyrelsen/system-til-system-adgang-til-cvr-data,,"The Central Business Register (CVR) contains primary data on all businesses in Denmark, both public and private. The CVR API allows users to access this information programmatically using SOAP calls. The register contains business's names, addresses, industry information, telecommunications data, etc. The CVR includes both active and historic legal entities. Most portions of the website are provided in both Danish and English, but some are only given in Danish.",National,Denmark,Central Company Registry,Governmental,2015,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
29,Denmark Customs and Tax Administration,Service,Service integration,https://datahub.virk.dk/dataset/system-til-system-adgang-til-cvr-data/resource/d79bf78d-30a9-4e17-8f01-84b25ba7499a,,API to access data from the Denmark Customs and Tax Administration (SKAT).,National,Denmark,Customs and Tax Administration,Governmental,2015,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
30,Datafordeler.dk,Service,Data access and reuse,https://datafordeler.dk/dataoversigt/,,API of the Denmark catalogue of base data.,National,Denmark,Agency for Data Supply and Efficiency,Governmental,2017,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
31,Denmark geodata,Service,Data access and reuse,https://geodata-info.dk:/srv/dan/csw,,API of the Danish national geodata catalogue.,National,Denmark,Government of Denmark,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
32,Danish Map Supply service,Service,Data access and reuse,https://kortforsyningen.dk/indhold/webservice-liste,,APIs of the Danish Maps Supply service.,National,Denmark,Agency for Data Supply and Efficiency,Governmental,2015,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
33,Denmark National Service Platform (NSP) healthcare,Service,Service integration,https://www.nspop.dk/display/web/NSP+services,,"The national services offered via NSP are a range of different types of services. There is access to a number of national registers such as. The CPR Register and the Authorization Register. There is an option for access to national services such as the Joint Medical Card (FMK) and Birth Reporting. Finally, a generic account of certificate-level ID cards for use in national services is offered.",National,Denmark,Healthcare Denmark,Governmental,2014,Yes,,Health,Data access,Yes,No,API,In production,Unknown
34,Denmark Environmental Portal,Service,Data access and reuse,https://danmarksmiljoeportal.zendesk.com/hc/da/sections/201715845-Services-og-udvikling,,Danmarks Miljøportal (Denmark Environmental Portal) makes a number of web services available to everyone for free. Web services provide access to the Environmental Portal's databases. The purpose of exhibiting web services is that the authorities themselves can get IT suppliers to tailor applications and user interfaces that support the authorities' needs in connection with reporting and retrieving data from Denmark's Environmental Portal's databases.,National,Denmark,Denmark's Environment Portal,Governmental,2014,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
35,Denmark Statistics,Service,Data access and reuse,https://www.dst.dk/da/Statistik/brug-statistikken/muligheder-i-statistikbanken/api,,"With Statistics Denmark's API for StatBank Denmark, it is possible to programmatically access all published data in StatBank Norway.",National,Denmark,"Government of Denmark, Statistics",Governmental,2014,Yes,,Overall planning and statistical services,Data access,No,No,API,In production,Unknown
36,Estonia Center for Health and Welfare Information Systems,Service,Service integration,https://www.tehik.ee/tervis/arendaja/,,APIs of the Estonia Center for Health and Welfare Information Systems.,National,Estonia,Center for Health and Welfare Information Systems,Governmental,2008,Yes,,Health,Data access,No,No,API,In production,Unknown
37,Estonia Company Registration (RIK),Service,Service integration,http://www.rik.ee/en/other-services/company-registration-api,,"The Estonia Company Registration API is a set of X-Road services that upon implementation enable to submit applications to the Business Register for establishing a private limited company in simplified procedure. Establishing a private limited company in simplified procedure means most options are pre-selected for the applicant. In addition, the service includes checking the uniqueness of the company name. A  company, bank or start-up that has implemented the aforementioned X-Road services has the possibility to create their own environment - webpage or mobile application –  and offer the service of establishing a private limited company to their clients.",National,Estonia,Centre of Registers and Information Systems,Governmental,2007,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
38,Estonia geodata,Service,Data access and reuse,https://geoportaal.maaamet.ee/est/INSPIRE-teenused-p17.html,,"APIs of the Estonian national geodata catalogue. The Estonian geoportal is a ""gateway"" through which spatial data in the area of ​​administration of the Estonian state and local governments and other legal persons in public law are published and made available. The portal is part of the Estonian spatial data infrastructure , which in turn forms part of the European Community's spatial data infrastructure INSPIRE .",National,Estonia,Government of Estonia,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
39,Copernicus Open Access Hub,Service,Data access and reuse,https://scihub.copernicus.eu/twiki/do/view/SciHubWebPortal/APIHubDescription,,"The Copernicus Open Access API Hub is dedicated to users of the scripting interface. The API Hub Access is currently available for all users registered on SciHub. The same user credentials are made valid to access this site within 1 week from the registration on SciHub. Any following modification performed by the user on the SciHub account (e.g. new password, e-mail, country, etc.) is transferred to API Hub within 1 week from the update. The API Hub may be accessed through the URL https://scihub.copernicus.eu/apihub/. This implies that the OpenSearch API is published at https://scihub.copernicus.eu/apihub/search and the OpenData API is published at https://scihub.copernicus.eu/apihub/odata/v1. The API Hub is managed with the same quota restrictions, ie. a limit of two parallel downloads per user. The site is publishing precisely the same data content as the Scientific Data Hub (both Sentinel-1 and Sentinel-2).",International,European Union,Copernicus,Governmental,2017,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
40,Digital Agenda Key Indicators,Service,Data access and reuse,https://semantic.digital-agenda-data.eu/dataset/digital-agenda-scoreboard-key-indicators,,API of the EU Digital Agenda Key Indicators. ,International,European Union,European Commission,Governmental,2014,Yes,,Overall planning and statistical services,Data access,Yes,Yes,API,In production,Unknown
41,EU Open Data Portal ,Service,Data access and reuse,https://data.europa.eu/euodp/en/data/dataset/eu-open-data-portal-api,,The REST API is one of the ways to access the EU Open Data Portal. Under API are available the portal core functionalities. This encompasses all you can do with the web interface. The information retrieved can thus be used by external code that calls the portal API.,International,European Union,"European Commission, Open Data Portal",Governmental,2012,Yes,,General public services,Data access,Yes,Yes,API,In production,Unknown
42,European Chemicals Agency (ECHA) IUCLID chemical substances,Service,Data access and reuse,https://iuclid6.echa.europa.eu/public-api,,"API of the European Chemicals Agency (ECHA) IUCLID chemical substances. Since version 1.2.0 (January 2017), IUCLID 6 comes with support for web services out of the box (both Desktop and Server versions). IUCLID 6 offers a public REST Web Services API (IUCLID6 Public REST API) for external systems for integration. This API will be maintained and backward compatibility will be ensured.",International,European Union,European Chemicals Agency (ECHA),Governmental,2017,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
43,European Chemicals Agency (ECHA) QSART,Service,Data access and reuse,https://qsartoolbox.org/developers/webapi/,,"API of the European Chemicals Agency (ECHA) QSART. The QSAR Toolbox features a powerful WebAPI that opens the system to interaction with other tools. The exposed services may be used by software developers to create applications that interface with the QSAR Toolbox and obtain chemical identity data, calculated parameter values, profiling results, etc. Experienced users may use the Toolbox Web Services to feed data into pipeline systems or to process vast arrays of data in batches.",International,European Union,European Chemicals Agency (ECHA),Governmental,2015,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
44,Council of the European Union,Service,Data access and reuse,https://data.consilium.europa.eu/sparql,,SPARQL API endpoint of the Council of the European Union.,International,European Union,European Council,Governmental,2016,Yes,,Executive and legislative organs,Data access,No,Yes,API,In production,Unknown
45,European Court Database (CDB) Application Programming Interface (API),Service,Data access and reuse,https://data.europa.eu/euodp/en/data/dataset/european-court-database-api,,"The European Court Database (CDB) system is publicly available since November 2015. It provides an easy way for users to determine the correct (i.e., competent) court for a number of European legal instruments, such as European Payment Orders, European Small Claims, and others. It replaces the European Judicial Atlas in Civil matters that is gradually being phased out.",International,European Union,European Court,Governmental,2015,Yes,,Executive and legislative organs,Data access,No,Yes,API,In production,Unknown
46,European Court Database (ECB) SDMX 2.1 RESTful web service,Service,Data access and reuse,https://data.europa.eu/euodp/en/data/dataset/ecb-web-service,,"ECB statistics covers different statistical domains with a primary focus on the Euro Area. The ECB’s Statistical Data Warehouse (SDW) contains the statistical data published by ECB. This data can be programmatically accessed via a RESTful Web-Service, which is compliant with the SDMX 2.1 standard.",International,European Union,European Central Bank Statistics,Governmental,2015,Yes,,Overall planning and statistical services,Data access,No,Yes,API,In production,Unknown
47,European Data Portal,Service,Data access and reuse,https://www.europeandataportal.eu/data/en/api/3,,API of the European Data Portal.,International,European Union,European Commission,Governmental,2015,Yes,,General public services,Data access,Yes,Yes,API,In production,Unknown
48,European Environmental Agency (EEA) public map services,Service,Data access and reuse,https://www.eea.europa.eu/code/gis/gis-applications-api,,"The European Environmental Agency (EEA) provides geographic information system (GIS) application programming interfaces (APIs) to obtain a wide range of environmental data for Europe, and helps users create their own map services. Map services available from Discomap are freely available for reuse. EEA content can be integrated in many different ways by developers or by end users who wish to combine EEA's information with their own or other public map services (mash-ups).",International,European Union,European Environment Agency (EEA),Governmental,2012,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
49,European Participant Portal Application Programming Interfaces (APIs),Service,Service integration,https://ec.europa.eu/info/funding-tenders/opportunities/portal/screen/support/participant-portal/apis,,External API interfaces exposed by the Participant Portal for use by third party systems.,International,European Union,European Commission,Governmental,2013,Yes,,Social protection,Data access,Yes,No,API,Pilot,Unknown
50,European Single Procurement Document (ESPD),Service,Data access and reuse,https://www.itb.ec.europa.eu/espd/api/validation?wsdl,,API of the European Single Procurement Document (ESPD).,International,European Union,European Commission,Governmental,2016,Yes,,General public services,Data access,No,Yes,API,In production,Unknown
51,"European Skills, Competences, Qualifications and Occupations (ESCO)",Service,Data access and reuse,https://ec.europa.eu/esco/api,,"European Skills, Competences, Qualifications and Occupations (ESCO)",International,European Union,European Commission,Governmental,2017,Yes,,Education,Data access,No,Yes,API,In production,Unknown
52,Sparql and RESTful API access to European Union law and publications (CELLAR),Service,Data access and reuse,https://data.europa.eu/euodp/en/data/dataset/sparql-cellar-of-the-publications-office,,"Key collections of EU information – legal content and general publications – can be fetched directly from the Publications Office’s common repository of metadata and content, the CELLAR, using the machine-readable SPARQL endpoint facility or the HTTP RESTful web services. CELLAR is powered by semantic technology and enables direct access to information stored as Linked Data.",International,European Union,Publications Office of the European Union,Governmental,2016,Yes,,Executive and legislative organs,Data access,No,Yes,API,In production,Unknown
53,An API for European Union legislation,Service,Data access and reuse,https://api.epdb.eu,,"This is an application programming interface (API) that opens up core EU legislative data for further use. The interface uses JSON, meaning that you have easy to use machine-readable access to meta data on European Union legislation. It will be useful if you want to use or analyze European Union legislative data in a way that the official databases are not originally build for. The API extracts, organize and connects data from various official sources.",International,European Union,Buhl & Rasmussen,Governmental,2014,Yes,,Executive and legislative organs,Data access,No,Yes,API,In production,Unknown
54,Europeana REST API,Service,Data access and reuse,https://pro.europeana.eu/resources/apis/intro,,"The Europeana REST API allows you to build applications that use the wealth of our collections drawn from the major museums and galleries across Europe. The Europeana collections contain over 50 million cultural heritage items, from books and paintings to 3D objects and audiovisual material, that celebrate over 3,500 cultural institutions across Europe.",International,European Union,Europeana Foundation,Governmental,2011,Yes,,"Recreation, culture and religion",Data access,Yes,Yes,API,In production,Unknown
55,EUROSTAT REST API,Service,Data access and reuse,https://ec.europa.eu/eurostat/web/json-and-unicode-web-services,,"The EUROSTAT JSON & UNICODE Web Services are a programmatic access to Eurostat data, with the possibility to download a subset of a given dataset. This operation allows customizing requests for data. You can filter on dimensions to retrieve specific data subsets.",International,European Union,European Commission,Governmental,2017,Yes,,Overall planning and statistical services,Data access,No,Yes,API,In production,Unknown
56,EUROSTAT NUTS SPARQL endpoint,Service,Data access and reuse,https://data.europa.eu/euodp/en/data/dataset/ESTAT-NUTS-classification,,EUROSTAT NUTS SPARQL endpoint. The NUTS classification (Nomenclature of territorial units for statistics) is a hierarchical system for dividing up the economic territory of the EU.,International,European Union,European Commission,Governmental,2018,Yes,,Overall planning and statistical services,Data access,No,Yes,API,In production,Unknown
57,FOODIE APIs,Service,Data access and reuse,https://www.foodie-cloud.org/developers/,,APIs of the FOODIE EU project.,International,European Union,Farm Oriented Open Data in Europe (FOODIE) project consortium,Governmental,2017,Yes,,Agriculture,Data access,No,Yes,API,In production,Unknown
58,GISCO data distribution API,Service,Data access and reuse,https://data.europa.eu/euodp/en/data/dataset/estat-gisco,,"GISCO is responsible for meeting the European Commission's geographical information needs at 3 levels: the European Union, its member countries, and its regions. GISCO manages a database of geographical information, and provides related services to the Commission. Its database contains core geographical data covering the whole of Europe, such as administrative boundaries, and thematic geospatial information, such as population grid data. Some data are available for download by the general public and may be used for non-commercial purposes. The main goal of GISCO's various activities and long-term projects is to better integrate statistical and geospatial information at the EU level.",International,European Union,European Commission,Governmental,2017,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
59,GODAN API-AGRO,Service,Data access and reuse,https://www.godan.info/organizations/api-agro,,"API of the Global Open Data for Agriculture and Nutrition (GODAN) catalogue. API-AGRO offers a platform to easily spread data and share them with agricultural stakeholders. We support you, data providers and users, with services offer focused on business uses. The platform delivers access to various assets (datasets and API) improving their visibility (public, restricted or private), their accessibility, their interoperability and their reuse while warranting high level of security and traceability. As a food factory, the platform collects raw materials (data) to set-up refined products, which can be put together or used alone, to be valorized directly in a throng of apps.",International,European Union,Godan consortium,Governmental,2015,Yes,,Agriculture,Data access,No,Yes,API,In production,Unknown
60,Historic EU payments,Service,Data access and reuse,https://cohesiondata.ec.europa.eu/Other/Historic-EU-payments-regionalised-and-modelled/tc55-7ysv,,"API giving access to the Historic EU payments dataset. This data set provides, in a single source, regionalised (NUTS-2) annual EU expenditure data (in current prices) for specific EU funds - ERDF, Cohesion Fund, EAFRD/EAGGF and ESF.",International,European Union,European Commission,Governmental,2018,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
61,IATI Registry,Service,Data access and reuse,https://iatistandard.org/en/using-data/iati-tools-and-resources/using-iati-registry/,,API of the International Aid Transparency Initiative (IATI) Registry.,International,European Union,International Aid Transparency Initiative (IATI),Governmental,2010,Yes,,General public services,Data access,No,Yes,API,In production,Unknown
62,It's Your Parliament (Itsy),Service,Data access and reuse,https://www.itsyourparliament.eu/api/,,"API of the ""It's Your Parliament"" (Itsy) catalogue, giving access to open data of the European Parliament.",International,European Union,It's Your Parliament (Itsy),Governmental,2011,Yes,,Executive and legislative organs,Data access,No,Yes,API,In production,Unknown
63,LobbyFacts.eu,Service,Data access and reuse,https://api.lobbyfacts.eu/,,"API of LobbyFacts.eu, a platform providing the essential data on lobbying in the European institutions.",International,European Union,Open Knowledge Foundation,Governmental,2013,Yes,,Executive and legislative organs,Data access,No,Yes,API,In production,Unknown
64,Trusted List Browser,Service,Data access and reuse,https://webgate.ec.europa.eu/tl-browser/swagger-ui.html,,API of the National Trusted Lists and the European List of Trusted Lists (LOTL). The main purpose of the Trusted List Browser and its API is to browse the content of Trusted Lists (not validating certificates nor signatures). The actual content of Trusted Lists is managed and published by each Member States.,International,European Union,National Trusted Lists and the European List of Trusted Lists (LOTL),Governmental,2017,Yes,,General public services,Data access,No,Yes,API,In production,Unknown
65,INSPIRE ETF Web API,Service,Validation and benchmarking,https://inspire.ec.europa.eu/validator/swagger-ui.html,,"API of the European Testing Framework (ETF), implemented in the validation tools of Spatial Information in the European Community (INSPIRE) data infrastructure.",International,European Union,European Commission,Governmental,2018,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
66,INSPIRE Geoportal,Service,Data access and reuse,https://inspire-geoportal.ec.europa.eu/GeoportalProxyWebServices/resources/OGCCSW202?service=CSW&request=GetCapabilities&version=2.0.2,,API of the data catalogue of the Spatial Information in the European Community (INSPIRE).,International,European Union,European Commission,Governmental,2010,Yes,,Environmental protection,Data access,No,Yes,API,In production,Unknown
67,Finland Open Data Catalogue,Service,Data access and reuse,https://www.avoindata.fi/data/en_GB/api/3,,API of the Finland Open Data Catalogue.,National,Finland,Population Register Centre,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
68,Finland INSPIRE data catalogue,Service,Data access and reuse,https://www.paikkatietohakemisto.fi/geonetwork/srv/eng/csw,,API of the Finland INSPIRE data catalogue.,National,Finland,Government of Finland,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
69,Helsinki Service Map,Service,Service integration,https://www.hel.fi/palvelukarttaws/restpages/index_en.html,,"REST API for City of Helsinki Service Map. The Service Map is an open information channel on the service points and services offered by the cities of Helsinki, Espoo, Vantaa and Kauniainen. The Service Map helps the inhabitants of the municipality find current information on services offered by the city, as well as on the accessibility of the services.",Local,Finland,City of Helsinki,Governmental,2011,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
70,Helsinki OpenAhjo,Service,Service integration,https://dev.hel.fi/openahjo/v1/,,OpenAhjo is an API for accessing the decision-making material of the City of Helsinki.,Local,Finland,City of Helsinki,Governmental,2013,Yes,,General public services,Data access,No,No,API,In production,Unknown
71,Helsinki Regional Transport Authority HSL Developer Community,Service,Service integration,https://github.com/HSLdevcom,,Helsinki Regional Transport Authority (HSL) organises public transport and develops transit apps with Open Data and Open Source communities.,Local,Finland,City of Helsinki,Governmental,2012,Yes,,Transport,Data access,No,No,API,In production,Unknown
72,Helsinki-kanava API,Service,Service integration,https://api.helsinkikanava.fi/apidoc/,,The Helsinki-kanava portal provides open and free-to-use access to the Helsinki city council meeting video recordings and associated metadata. The data is primarily targeted towards developers who wish to embed or include the recordings in their own applications. All recordings are also viewable directly from the Helsinki-kanava main site.,Local,Finland,City of Helsinki,Governmental,2012,Yes,,Executive and legislative organs,Data access,No,No,API,In production,Unknown
73,Suomi.fi API,Service,Service integration,https://www.suomi.fi/instructions-and-support/general-information-on-the-web-service,,"The Suomi.fi web service brings together contents for citizens, businesses and authorities. In Suomi.fi, you can find public services along with helpful contents for different life events and entrepreneurship, all in one place.",National,Finland,Population Register Center,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
74,data.gouv.fr,Service,Data access and reuse,https://www.data.gouv.fr/api/1/,,API of the national open data portal of France.,National,France,DINSIC,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
75,Déclaration Sociale Nominative (DNS) API,Service,Service integration,https://www.net-entreprises.fr/declaration/api-dsn/,,The Nominative Social Declaration (DSN) is a monthly file produced from the payroll intended to communicate the information necessary for the management of the social protection of employees to the organizations and administrations concerned.. The DSN API is the interface that allows the declarant's payroll software (or the concentrator) to authenticate itself directly at the deposit point for registered social declarations without having to navigate to net-entreprises.fr (or msa.fr ) to file their declarations there and thus support a complete machine-to-machine operation of the DSN.,National,France,The public interest group Modernization of Social Declarations (GIP-MDS),Governmental,2014,Yes,,Social protection,Data access,No,No,API,In production,Unknown
76,API Entreprise,Service,Service integration,https://entreprise.api.gouv.fr,,"API Entreprise allows an administration to access the data and administrative documents of companies and associations, in order to simplify their procedures.",National,France,DINSIC,Governmental,2018,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
77,France INSPIRE data catalogue,Service,Data access and reuse,https://www.geocatalogue.fr/api-public/inspire/servicesRest?,,API of the France INSPIRE data catalogue.,National,France,Government of France,Governmental,2012,Yes,,Environmental protection,Data access,No,No,API,In production,Unknown
78,API Sirene,Service,Service integration,https://api.insee.fr/catalogue/site/themes/wso2/subthemes/insee/pages/item-info.jag?name=Sirene&version=V3&provider=insee,,"API Sirene provides web services to access the content of the French business register Sirene. 23 million legal units and 28 million establishments are accessible with their complete history. With the ID of the legal unit or the establishment, the API provides access to name, address, creation date, legal status, main activity. The API also enables search of legal units and establishments with these same variables. It provides much easier access to business register data compared to the current file exchanges and updates.",National,France,Government of France,Governmental,2017,Yes,,Financial and fiscal affairs,Data access,No,No,API,In production,Unknown
79,Paris Data,Service,Data access and reuse,https://opendata.paris.fr/api/v2/console,,API of the open data catalogue of the City of Paris.,Local,France,City of Paris,Governmental,2011,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
80,Open Data Rennes,Service,Data access and reuse,https://data.rennesmetropole.fr/api/v1/console/datasets/1.0/search/,,API of the open data catalogue of the City of Rennes.,Local,France,City of Rennes,Governmental,2017,Yes,,General public services,Data access,Yes,No,API,In production,Unknown
