id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
11,VirusRadar,Service,Contact tracing,https://virusradar.hu/,,"The Virus Radar is a mobile application which is the basis of the best international examples have been developed to protect against the coronavirus. The app can be used to examine contact with proven infected people by measuring the distance of mobile devices using Bluetooth. The Virus Radar helps the work of epidemiologists contact research. By using the phone numbers of users who also run VirusRadar , professionals can access those the infected person has encountered in the past 14 days, potentially infecting them.",National,Hungary,Ministry of Innovation and Technology,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
12,COVID Tracker,Service,Contact tracing,https://covidtracker.gov.ie/,,"COVID Tracker is a free app for your mobile phone. It will help us to protect each other and slow the spread of coronavirus (COVID-19) in Ireland. Using the COVID Tracker app along with the existing public health measures will help us all stay safe when we meet up, socialise, work or travel.",National,Ireland,Government of Ireland,Governmental,2020,Yes,,Health,Information,No,Yes,Internet of Things,In production,Unknown
13,Immuni,Service,Contact tracing,https://www.immuni.italia.it/,,"Immuni is an app created to help us fight epidemics, starting with COVID-19. The app has a contact tracing feature. When users discover they have tested positive for the virus, Immuni allows them to anonymously alert people they have been in close contact with and who may also have been infected. By being informed promptly (potentially even before developing symptoms of the virus), these people can contact their general practitioner to discuss their situation. Doing so can prevent them from infecting others, helping to reduce the spread of the virus.",National,Italy,Presidenza del Consiglio dei Ministri,Governmental,2020,Yes,,Health,Information,No,Yes,Internet of Things,In production,Unknown
14,Apturi Covid,Service,Contact tracing,https://www.apturicovid.lv/#en,,"The app is a solution that helps limit the spread of coronavirus in Latvia and find out faster if you have been exposed to COVID-19. This app enables you to make the decision to self-isolate faster to help keep your friends, family and the general public safe, as well as monitor symptoms and seek help faster if needed.",National,Latvia,Ministry of Health and Centre for Disease Prevention and Control,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
15,Korona STOP LT,Service,Contact tracing,https://koronastop.lrv.lt/,,"Korona Stop LT is the official Exposure Notifications App for Lithuania created by the authority of the Ministry of Health of the Republic of Lithuania, on behalf of the National Public Health Center under the Ministry of Health.",National,Lithuania,Ministry of Health,Governmental,2021,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
16,COVIDAlert Malta,Service,Contact tracing,https://covidalert.gov.mt/,,"COVID Alert Malta is an app that helps us fight the COVID-19 epidemic. The app aims to notify users at risk of having been exposed to the virus as early as possible – even when they are asymptomatic. These users can then get tested. This minimises the spread of the virus, whilst speeding up a return to normal life in Malta. By being alerted early, if these users test positive they can also receive any necessary treatment promptly and lower the risk of serious consequences",National,Malta,Malta Information Technology Agency,Governmental,2021,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
17,CoronaMelder,Service,Contact tracing,https://coronamelder.nl/,,"CoronaMelder is the official Dutch coronavirus notification app, developed under supervision by the Ministry of Health, Welfare and Sport. The app digitally helps the Municipal Public Health Service’s (GGD) with their source and contact research.",National,Netherlands,"Ministry of Public Health, Welfare and Sport",Governmental,2021,Yes,,Health,Information,No,Yes,Internet of Things,In production,Unknown
,Smittesstopp,Service,Contact tracing,https://www.helsenorge.no/en/smittestopp/,,"Smittestopp is an app from the Norwegian Institute of Public Health (""Folkehelsesinstituttet (FHI)"" in Norwegian). The app is intended to help prevent coronavirus from spreading among the population and is completely voluntary and safe to use. You must be 16 or older to use the app.",National,Norway,Norwegian Institute of Public Health,Governmental,2021,Yes,,Health,Information,No,Yes,Internet of Things,In production,Unknown
19,ProteGO Safe,Service,Contact tracing,https://www.gov.pl/web/protegosafe,,"STOP COVID - ProteGO Safe is an application that will help us overcome the most severe restrictions related to a pandemic. The more of us use it, the faster and more effectively we will reduce the pace and extent of the spread of the coronavirus. It is also professional help for both healthy and infected people.",National,Poland,Government of Poland,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
20,StayAway COVID,Service,Contact tracing,https://stayawaycovid.pt/landing-page/,,"STAYAWAY COVID is an application that runs on iOS and Android mobile phones and is intended to support the country in its efforts to screen for COVID-19. By monitoring your most recent contacts, the app allows you to know, simply and safely, whether you have been exposed to the disease. The STAYAWAY COVID app is entirely voluntary and free and at no time requires access to your identity or personal data.",National,Portugal,INESC TEC,Private,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
21,#OstaniZdrav,Service,Contact tracing,https://www.gov.si/en/topics/coronavirus-disease-covid-19/the-ostanizdrav-mobile-application/,,"The mobile application for protecting public health and lives, #OstaniZdrav (#StayHealthy), is a tool that informs you if you have been in contact with an infected person. With its use and the observance of recommendations, each person contributes their share to restricting the spread of the virus and the protection of our own health, the health of our loved ones and that of society as a whole.",National,Slovenia,Government of Slovenia,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
22,Radar Covid,Service,Contact tracing,https://radarcovid.gob.es/,,Official application of the Government of Spain for COVID-19 contact tracing.,National,Spain,Spanish Government,Governmental,2020,Yes,,Health,Information,No,No,Internet of Things,In production,Unknown
