,entry_type,rtype,name,url,contact,description,geoextent,geocoverage,geocoverage_codes,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,technology,uptake,cross_border,cross_sector,type,status,id
21,case,Service,Kiri - chatbot for citizens' enquiries,,,"The municipality of Frederiksberg launched an AI-based chatbot (""Kiri"") to answer citizen queries about local services. The Frederiksberg Municipality's website is able to give help from the chatbot Kiri. It is a digital assistant to whom citizens can ask general questions and answer immediately. The offer is a trial conducted by Gentofte, Gladsaxe, Lyngby-Taarbæk, Rudersdal, Roskilde and Frederiksberg municipalities, and which is inspired by similar trials with good results in Norway. Kiri is a pilot, and initially it will only be able to answer questions in the field of citizen services, such as passports and driver's licenses. Kiri is unable to answer specific cases, but will be able to answer the most typical and general questions.",Local,Denmark,DK,Frederiksberg Municipality,Local Government,2018,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Engagement management,Not in use anymore,21
22,case,Service,CHAIN - Smart Water optimising energy consumption ,,,Sensors analyse the water consumption in order to optimise energy consumption in Aarhus municipality. AI will be used to analyze the big amounts of data from sensors about water consumption and to monitor its quality. ,Local,Denmark,DK,Aarhus Municipality,Local Government,2016,,,Housing and community amenities,Water supply.,Artificial Intelligence,,,,Supporting inspection processes,Pilot,22
23,case,Service,SATIKAS -  Detecting the agricultural grasslands changes,https://kosmos.ut.ee/en/news/information-system-satikas-helps-detect-mowing-using-satellite-data,,"In the Estonian Agricultural Registers and Information Board (ARIB), AI is used in order to detect whether the agricultural grasslands have been mowed or not using image recognition. This system, called SATIKAS , uses deep learning methods and convolutional neural network approaches to analyse the satellite data coming from the European COPERNICUS programme to automatically detect whether mowing has taken place on the Estonian grasslands. The optical satellite images from Sentinel 1 and 2 are analysed together with reference data of farmer fields, historical inspection logs and meteorological data from the Estonian Weather Service. This AI system is now regarded as one of the first AI applications used by the government in Estonia. The SATIKAS system is still under development and will expand its features and capabilities in the near future.",National,Estonia,EE,Estonian Agricultural Registers and Information Board (ARIB),Central-Government,2018,,,Economic affairs,"Agriculture, forestry, fishing and hunting",Artificial Intelligence,,,,Smart Recognition processes,Implemented,23
24,case,Service,e-Residency - Chatbot for customer assistance,https://chatbotsmagazine.com/how-e-residency-of-estonia-uses-ai-to-help-users-get-answers-instantly-and-increase-customer-e07e052beb4f,,"Artificial Intelligence (AI) customer service assistant for the Republic of Estonia’s e-Residency organisation. Together, the organisation decided to tackle the challenge of increasing customer support response time without hiring additional people. The solution is simple , i.e.  an Artificial Intelligence chatbot with a live-chat interface.",National,Estonia,EE,e-Residency organization,Central-Government,2018,,,General public services,General services.,Artificial Intelligence,,,,Engagement management,Implemented,24
25,case,Service,Enhanced Care Management - Prediction model for hospitalisation/assistance,https://www.haigekassa.ee/sites/default/files/uuringud_aruanded/1.7.%20Report%20pf%20ECM%20Pilot%20Evaluation.pdf,,"In 2015, the Estonian Health Insurance Fund started cooperating with the World Bank to develop and pilot a risk-based management model that would help increase the integration of health services. With risk-based management, GPs can identify patients with multiple chronic diseases on their list for whom additional prevention, counseling and monitoring would be most beneficial to their health and quality of life. If these patients are neglected by the GP teams, this can lead to serious problems, including unnecessary deterioration in health, which not only causes health damage but also unnecessary costs to the healthcare system (avoidable hospitalizations, duplication of examinations, etc.).The created solution finds the best algorithm for predicting which patients with selected diagnoses are likely to be hospitalized. In the solution, the EHIF database of medical bills first finds certain conditions / diagnoses to be included in the algorithm. ",National,Estonia,EE,Estonian Health Insurance Fund,Central-Government,2016,,,Health,Public health services.,Artificial Intelligence,,,,Prediction and planning ,Implemented,25
26,case,Service,EE Parliament- A system for preparing of verbatim reports, https://www.riigikogu.ee/en/press-releases/others/the-riigikogu-has-a-new-system-for-making-verbatim-reports/,,"The speech recognition system helps transcribe the speeches given at the rostrum of the Estonian Parliament (Riigikogu). The Chancellery of the Riigikogu is currently required to publish a verbatim report within one hour from the end of the sitting. It takes a lot of human effort to do that, and the burden falls on stenographers. By deploying speech recognition, it will increase the efficiency and accuracy in transcripts of the sessions. Also, the plan is to start providing verbatim recordings as machine-readable open data, so other systems can use that data freely as well.",National,Estonia,EE,Estonian Parliament (Riigikogu),Central-Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Internal primary processes,Implemented,26
27,case,Service,ITI - Chatbot for Statistics Estonia,"https://www.stat.ee/en/uudised/news-release-2019-042
https://www.stat.ee/en",,"The virtual assistant called ITI, created in collaboration with the Estonian start-up AlphaBlues, knows the population of Estonia, the size of the pay gap, average wages and consumer price changes, and many other things. Iti also assists the data provider, whose typical questions are related to activities in the electronic data submission portal and filling in questionnaires. If Iti does not know the answer, it will redirect the query based on its content to either the customer support specialist of the data provider or the user of the statistics. Iti has obtained its knowledge from the questions sent through online chats over one year and gets wiser with every query.  ITI helps to find information faster thus allowing the customer support of Statistics Estonia to focus on answering more complicated and detailed queries.",National,Estonia,EE,Estonian Statistical Office,Central-Government,2020,,,General public services,General services.,Artificial Intelligence,,,,Service integration (various),Implemented,27
28,case,Service,OTT - Predicting employment pathways, https://nortal.com/blog/ott-an-ai-powered-success-story-in-the-public-sector/,,"The Estonian Unemployment Insurance Fund uses profiling to identify the position that suits a job seeker the most. Based on machine-learning software, the solution assists people by suggesting job positions according to their qualifications. The application (OTT) provides job seekers with better and more accurate suggestions on where they could work and offers customized recommendations on re-education and reskilling. OTT is a tool used by civil servants to improve the understanding of the clients’ needs. It is an AI system that employs more than 100 000 client records to estimate the probabilities of different employment pathways, systematizes clients to provide support where it is most needed, and distributes the workload between civil servants. Now, the system finds the probability of finding a new job and is regarded as much more useful. The AI has been created in collaboration with Citis, Nortal and Resta. ",National,Estonia,EE,Estoninan Unemployment Insurance Fund,Central-Government,2020,,,Social protection,Unemployment.,Artificial Intelligence,,,,Service personalisation (various),Implemented,28
29,case,Service,Texta Toolkit - Identifying documents published without authorisation,https://www.keeletehnoloogia.ee/en,,"The Ministry of Education and Research performed a document management audit using the Texta Toolkit, which was aimed at identifying the documents that had been published without authorisation (e.g. internal documents, personal data, etc.). During the audit, more than 1,200,000 documents were analysed, converted into machine-readable form and had the personal data removed. In collaboration with the Centre of Registers and Information Systems, the Ministry of Justice removed, using Texta, personal data from nearly 80,000 court decisions involving information about punishments deleted from the Criminal Records Database and republished the decisions in the Court Information System. Texta Toolkit grew out of industrial research in the Software Technology and Applications Competence Center (STACC) and its development has been supported from the Estonian Language Technology programme.",National,Estonia,EE,Ministry of Education and Research,Central-Government,2020,,,General public services,General services.,Artificial Intelligence,,,,Predictive enforcement processes,Implemented,29
30,case,Service,Datel - Speed cameras for detecting speeding violations,https://www.datel.eu/en/solutions/e-government-solutions/item/417,,"Probably one of the most “visible” types of AI applications in Estonia are the speed cameras developed by an Estonian company Datel, which identify the license plate number on the photos of speeding cars using a machine learning algorithm. Based on the license plate number identified, the system finds the data required to conduct procedural acts, assesses the causality of speeding and imposes a penalty if necessary. Then the Police and Border Guard Board official conducting the proceedings verifies the data and signs the operation.",National,Estonia,EE,Police and Border Guard,Central-Government,2019,,,Public order and safety,Police Services,Artificial Intelligence,,,,Smart Recognition processes,Implemented,30
31,case,Service,Traffic load - Machine vision for collecting information on traffic load,,,"The Tallinn transport Dep. started developing a machine vision application in autumn 2018 in collaboration with Sifr OU. The main objective of this application is to identify the traffic load within Tallinn, i.e. how many cars drive in and out of the city in a day in order to make city transport planning related decisions based on such data (e.g. parking issues, road construction, etc.). Three cameras were selected on intersections in Tallinn to train the application to count the vehicles passing by the cameras. The training of the application was a crucial process in developing the solution since there was no ready-made solution available that suited the circumstances of Tallinn. The result is an application that uses machine vision to count buses, cars, lorries and motorcycles and in the future hopefully also pedestrians, cyclists and like with a 70% accuracy on the traffic load in a certain area when previously there no such information available at all. ",Local,Estonia,EE,Public Transport and Traffic Management Transport Board in Tallinn,Local Government,2018,,,Economic affairs,Transport,Artificial Intelligence,,,,Smart Recognition processes,Implemented,31
32,case,Service,X-Road AI - Detect anomalies and incidents in Data Exchange Layer, https://e-estonia.com/wp-content/uploads/2020-april-facts-ai-strategy.pdf,,"The Information System Authority (RIA) uses an AI application to detect anomalies and incidents in Data Exchange Layer (X-road) monitoring. Essentially, previous data exchange periods are compared with the current one and differences are sought. If the system is unable to identify whether a situation is erroneous or permitted, the system user currently has to decide. Based on the feedback, the system learns how to make better decisions and will be able to detect anomalies and incidents more accurately in the future.",National,Estonia,EE,State Information Systems Board RIA,Central-Government,2020,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Information analysis processes,Implemented,32
33,case,Service,SUVE - Chatbot for questions about emergency situations,https://investinestonia.com/estonia-created-suve-an-automated-chatbot-to-provide-trustworthy-information-during-the-covid-19-situation/,,"The websites of several Estonian government agencies use Suve, an automated chatbot which provides answers to frequently asked questions about the emergency situation and the coronavirus. The chatbot provides answers to questions in Estonian and English and uses information from the official sources of government agencies. The development of the Chatbot is the result of a hackathon which was organized in the early weeks of the COVID-19 outbreaks in Europe. Together with the Estonian start-up community, Suve was developed in rapid fashion. By using official information from government agencies, the role of Chatbot is to provide trustworthy information regarding the coronavirus and emergency situation in Estonia and to tackle misinformation. 
 https://www.valitsus.ee/en/news/chatbot-will-help-you-find-answers-your-questions-about-crisis",National,Estonia,EE,Estonian Investment Agency (EIA),Central-Government,2020,,,Health,Public health services.,Artificial Intelligence,,,,Service integration (various),Implemented,33
34,case,Service,Kamu - Chatbot about immigration processes , https://migri.fi/en/chat1,,Kamu is a chatbot used by the Finnish Immigration Service that gives general advice to citizens about immigration processes or about the process of the application. ,National,Finland,FI,Finnish Immigration Service,Central-Government,2020,,,General public services,General public services n.e.c.,Artificial Intelligence,,,,Service personalisation (various),Implemented,34
35,case,Service,PatRek - Chatbot for business,http://www.startingupsmoothly.fi/,,Chatbot to answer questions with regard to setting up a company in Finland based on the Finnish Chatbot Platform,National,Finland,FI,Finnish Patent and Registration Office,Central-Government,2020,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Engagement management,Implemented,35
36,case,Service,Helsinki HUH - Intensive care for premature baby,https://www.helsinki.fi/en/news/healthier-world/artificial-intelligence-evaluate-brain-maturity-preterm-infants,,"AI system to follow the intensive care of premature baby and equipment. The AI is more accurate to notice some signals better than the doctors, based on IBM Watson.  The system works 24/7 without any breaks. This should ensure a better care system for the premature baby, living rate, suport for personal and improved trust in healthcare.",Local,Finland,FI,Helsinki University Hospital,Local Government,2017,,,Health,Hospital services.,Artificial Intelligence,,,,Prediction and planning ,Implemented,36
37,case,Service,OuluBot - Virtual assistant for business, https://www.ouka.fi/oulu/oulubot/english,,"The City of Oulu has started a project co-financed by Business Finland, which aims to build a chatbot service, OuluBot. The goal for OuluBot is to become a virtual assistant in all everyday issues, whether they concern tourism, companies or city services. The answer or guidance to an electronic service should be provided regardless of time, place, medium and language. Technically, chatbot retrieves information e.g. relevant City of Oulu websites, chat history, guidance information, databases, and other information sources. OuluBot is available 24/7 service. independent of working hours. If the user is looking for information that OuluBot would not be able to answer, then during office hours the discussion could be directed to the City of Oulu chat service (Oulu10 general counseling customer service).",Local,Finland,FI,Municipality of Oulu,Local Government,2020,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Service personalisation (various),Implemented,37
38,case,Service,AuroraAI  - Programme with many AI examples.,https://vm.fi/documents/10623/13292513/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf/7c96ee87-2b0e-dadd-07cd-0235352fc6f9/AuroraAI+development+and+implementation+plan+2019%E2%80%932023.pdf,,"One of the experimental applications that has been run during the AuroraAI programme focused on the “moving to a place of study” life-event. Two cities involved (Tampere and Turku) carried out well-being surveys among its student populations, and - based on its results - clustered the students into the groups in need of different support. The study has discovered that factors such as reliability of the public transportation, and quality of the natural environment plays an important role in students’ well-being. Data retrieved from the study helped create a new cross-cutting public offering - a bot that would supply information about the topics that students found important. The uptake of the new service has been lackluster, leading the authorities to believe that only proactive marketing could change customers’ behaviour. Also it has been concluded that in order to pursue such projects further, municipalities need to develop user experience awareness and data analytics skills. ",National,Finland,FI,Munipality of Tampere and Turku,Local Government,2021,,,Health,Health n.e.c.,Artificial Intelligence,,,,Service personalisation (various),Implemented,38
39,case,Service,VeroBot - Chatbot for citizens about tax management ,https://www.vero.fi/en/e-file/mytax/,,"The Finnish Tax Administration has published a joint chatbot service together with the Immigration Service and the Patent and Registration Office. The service includes three different chatbots. They utilise Artificial Intelligence to answer customers' questions. The bots know about work related taxation, immigration and business registration in Finland. At the moment the target group is entrepreneurs from outside Finland.
The chatbot service is currently in the trial stage and available only in English. The service is open until the end of June 2019. You can test the chatbot yourself on the tax.fi page. More information at:  https://www.vero.fi/en/About-us/contact-us/chat_with_the_tax_authoritie/",National,Finland,FI,Finnish Tax Administration,Central-Government,2019,,,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Service personalisation (various),Not in use anymore,39
40,case,Service,French Fraud - Fraud detection value declarations,https://www.aiforhumanity.fr/pdfs/MissionVillani_Report_ENG-VF.pdf,,A supervised deep mining algorithm is used by French customs in order to detect fraud with value declarations and to analyze cases of identiy fraud or import trafficiking.,National,France,FR,French Customs,Central-Government,2018,,,Public order and safety,Police Services,Artificial Intelligence,,,,Supporting inspection processes,Implemented,40
41,case,Service,RenoiRH - Chatbot in HR management rules to facilitate access,https://www.youtube.com/watch?v=J0cFEJh8f70,,"Interministerial Center for IT Services Relating to Human Resources (CISIRH) has developed a chatbot specialized in HR management rules to facilitate access to information. The public service includes a large number of standards, nomenclatures and written rules such as those relating to the mobility of agents and their career development.",National,France,FR,Interministerial Center for IT Services Relating to Human Resources,Central-Government,2018,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Internal support processes,Pilot,41
42,case,Service,SignauxFaibles - Predictive analysis of business difficulties,,,"The detection of weak signals, which indicate a deterioration in the company's situation, makes it possible to identify more early the companies on which support actions can be offered to the company manager. The innovations relate to: (1) The development of a detection algorithm that uses relevant data and variables and effectively detects companies in difficulty (URSSAF, DIRECCTE, Banque de France data, etc.); (2) The development of a data loading computer system capable of regularly and automatically refreshing data from operational databases. The objective is to dynamically detect 2 to 5 new SMEs per month on the scale of Bourgogne Franche-Comté.
Expected impacts in terms of digital transformation: an even more effective decentralized State action to support weakened companies. Ultimately, it is a real “secure social network” centered on the company which will become the daily tool of public actors mobilized around companies in difficulty.",National,France,FR,"Ministry of the Economy, Finance and Recovery - General Directorate of Enterprises (DGE) / Ministry of Labor (DGEFP)",Central-Government,2014,,2019.0,Economic affairs,"General economic, commercial and labour affair",Artificial Intelligence,,,,Prediction and planning ,Implemented,42
43,case,Service,Aria - Chatbot answering retired people,https://www.lassuranceretraite.fr/portail-info/sites/pub/hors-menu/actualites-nationales/retraite/2018/page-9.html ,,"National Old Age Insurance Fund (Cnav) is working  with ""Aria"", a chatbot for aswering requests made by retirees, . This chatbot can tell you the amount of income you have declared to the tax authorities, the calendar of next payments, what the direct debit will consist of, etc. , ""Aria will be able to speak, will respond to non-retirees and will be able to tackle a larger number of subjects"".",National,France,FR,National Old Age Insurance Fund (Cnav),Central-Government,2018,,,General public services,"Executive and legislative organs, financial and fiscal affairs, external affairs.",Artificial Intelligence,,,,Service integration (various),Implemented,43
