id,name,rtype,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
11,Data Mill North (DMN),Project,Data access and reuse,https://www.nesta.org.uk/blog/tech-nation-2016-much-more-than-disruption/,,"Leeds City Council has created Data Mill North (DMN), one of the largest open data portals in the UK.",National,United Kingdom,Nesta,Private company,2014,No,2016,General public services,Data access,No,No,API,In production,Unknown
12,The Leeds Bin App,Project,Smart city,https://www.nesta.org.uk/feature/eight-ways-councils-are-using-data-create-better-services/the-bin-app/,,"The bin app uses open data on Data Mill North to notify the people of Leeds of when their next bin collection will take place and which bin to put out. The app also informs people of any changes to the schedule over public holidays, such as Christmas, as well as nudging people to recycle.",Local,United Kingdom,Nesta,Private company,2014,No,2016,Waste management,Information,No,No,API,In production,Unknown
13,Damp Busters - Bristol’s damp sensing frogs,Project,Smart city,https://www.bristolapproach.org/bristol-approach-projects/damp-homes/,,"The Damp Frog is a ""frog shaped device"" with sensors that collect data every five minutes, saving it into a simple database. A web site gives the householder the current temperature, humidity, and dew point. This helps them to understand what they can do to reduce damp in their homes.",Regional,United Kingdom,The Bristol Approach,Private company,2014,No,2016,Environmental protection,Information,No,No,Internet of Things,In production,Unknown
14,City4Age - Elderly-friendly city services for active and healthy ageing,Project,Smart city,https://cordis.europa.eu/project/id/689731,,"City4Age enhance citizen awareness, behavioral learning and cultural adaptation to new technologies to improve senior citizens’ everyday life quality, promote policy making by citizens for citizens, reduce social isolation and senior citizens’ number in nursing homes.",National,European Union,POLIMI,Consortium,2015,No,2018,Social Protection,Information,No,No,Internet of Things,Pilot,Unknown
15,OpenBudgets.eu - Financial Transparency Platform for the Public Sector,Project,Auditing and logging,https://cordis.europa.eu/project/id/645833,,"The OpenBudgets.eu platform includes 13 tools aimed at administrations, data managers, and investigative journalists. They make it possible to analyse financial data from different public bodies and jurisdictions, visualise and display it online, and help viewers, even those without specialist data skills, to detect patterns and anomalies. The platform also features tutorials designed to help journalists and civil society activists to investigate public budgets and games aimed at raising awareness of data interpretation and corrupt practices. It also contains information about how EU regional funding is allocated and spent, with regional datasets integrated into one database.",International,European Union,Fraunhofer Institute,Consortium,2015,No,2017,Financial and fiscal affairs,Control and monitoring,No,Yes,API,Pilot,Unknown
16,URBAN-API,Project,Smart city,https://ec.europa.eu/digital-single-market/en/news/project-urban-api-application-3d-scenarios-now-online,,The project developed 3D Scenario Creators that directly address the issue of stakeholder engagement in the planning process through the development and provision of enhanced virtual reality visualisations of neighbourhood development proposals. The urbanAPI tools developed aims to cover three urban planning contexts: the 3D Scenario Creator directly addresses the issue of stakeholder engagement in the planning process through the development and provision of enhanced virtual reality visualisations of neighbourhood development proposals; the Mobility Explorer provides mobile phone based ICT solutions that permit the analysis and visual representation of socio-economic activity across cities and in relation to the various land-use elements of the city; the Urban Development Simulator provides ICT simulation tools for interactive city region development simulation addressing urban growth and densification with planning interventions.,International,European Union,Fraunhofer Institute,Consortium,2011,No,2014,Economic affairs,Service integration,No,Yes,Augmented Reality / Virtual Reality,In production,Unknown
17,COMBI - Calculating and Operationalising the Multiple Benefits of Energy Efficiency Improvements in Europe,Project,Service integration,https://cordis.europa.eu/project/id/649724,,"The COMBI project provides an open platform to share and display data about energy saving R&D. The project aims at quantifying the multiple non-energy benefits of energy efficiency in the EU-28 area. It gathered existing approaches and evidence from the EU area and developed modelling approaches for impacts on: emissions (effects on health, ecosystems, crops), resources, (biotic/abiotic, metals and non-metals), social welfare (disposable income, health), macro economy (labour market, public finance, GDP) and the energy system (grid, supply-side, energy security)",International,European Union,Wuppertal Institute,Governmental,2015,No,2018,Environmental protection,Information,No,Yes,API,Pilot,Unknown
18,FLOBOT - Floor Washing Robot for Professional Users,Project,Smart city,https://cordis.europa.eu/project/id/645376,,"FLOBOT develops and validates a professional, robotic scrubber-dryer (floor washer with brushes and suction to dry the floor) for large areas Supermarkets, as well as other industrial, commercial and public use premises, such as airports, trade fairs and hospitals, have huge floor surfaces that must be cleaned daily or even several times during the day. Cleaning those surfaces is time demanding and requires human effort, in terms of repetitive actions. Currently, there exists no robot that satisfies the requirements of the professional users and cleaning service providers.",International,European Union,Cyprus Research and Innovation Center,Governmental,2015,No,2018,Waste management,Innovation,No,Yes,Internet of Things,Pilot,Unknown
19,FIRST - A Flexible Interactive Reading Support Tool,Project,Process automation,https://cordis.europa.eu/project/id/287607,,"The FIRST project uses innovative language technology to simplify documents for people with Autism Spectrum Disorders (ASD). These people can have problems when reading such as difficulty understanding complex instructions, misinterpreting literal meanings, or being confused by uncommon words, figures of speech and lack of precision. Using the language technology created in the FIRST project, users with ASD can convert a standard document into a personalised version which is easier for them to understand.",International,European Union,University of Wolverhampton,Governmental,2011,No,2014,Health,Information,No,Yes,Internet of Things,Pilot,Unknown
20,Signaturit - The smartest e-Signature solution to send and sign documents on the go,Project,Self-sovereign digital identity,https://cordis.europa.eu/project/id/735095,,Signaturit is a service that allows to the user handwriting signature of documents through any mobile device in a digitised format.,International,European Union,Signaturit Solutions,Private company,2016,No,2017,Public order and safety,Certification,No,Yes,Blockchain,Pilot,Unknown
21,"iMARECULTURE - Advanced VR, iMmersive serious games and Augmented REality as tools to raise awareness and access to European underwater CULTURal heritagE",Project,Process digitisation,https://cordis.europa.eu/project/id/727153,,"Advanced VR, iMmersive serious games and Augmented REality to access to European underwater CULTURal heritagE (iMARECULTURE) uses virtual visits and immersive technologies to provide a personalized dry visit to a museum visitor or augmented reality to the diver.",International,Cyprus,Cyprus University of Technology,Consortium,2016,No,2019,"Recreation, culture and religion",Information,No,Yes,Augmented Reality / Virtual Reality,Pilot,Unknown
22,BRIDGET - Bridging the gap for enhanced broadcast,Project,Process digitisation,https://cordis.europa.eu/project/id/610691,,"The BRIDGET aims to develop ultra-fast visual search engines which can recognise and find monuments, locations, buildings, products, books, logos or objects.",International,European Union,University of Surrey,Consortium,2013,No,2016,General public services,Information,No,Yes,Artificial Intelligence,Pilot,Unknown
23,DE-ENIGMA - Multi-Modal Human-Robot Interaction for Teaching and Expanding Social Imagination in Autistic Children,Project,Process automation,https://cordis.europa.eu/project/id/688835,,"Multi-Modal Human-Robot Interaction for Teaching and Expanding Social Imagination in Autistic Children (DE-ENIGMA) aims to create and evaluate the effectiveness of robot-based technology, directed for children with ASC.",National,European Union,Twente University,Consortium,2016,No,2019,Social Protection,Information,No,No,Artificial Intelligence,Pilot,Unknown
24,e-SENS - Electronic Simple European Networked Service,Project,Service integration,https://cordis.europa.eu/project/id/325211,,"e-SENS – Electronic Simple European Networked Services – is a Large Scale Pilot (LSP) aimed at promoting interoperability between public services in Europe based on the results of the previous LSPs: PEPPOL, SPOCS, STORK/ STORK 2.0, epSOS and e-CODEX.",International,European Union,CEA,Consortium,2013,No,2017,General public services,Service integration,No,Yes,API,Pilot,Unknown
25,Smart sENsor Devices fOr rehabilitation and Connected health - SENDoc,Project,Smart city,https://keep.eu/projects/18617/,,"SENDoc introduces the use of wearable sensor systems in ageing communities in northern remote areas. These sensors can measure mobility, strength, balance, and also wellbeing, exercise, and safety, and have the potential to support independent living.",National,European Union,Ulster University,Consortium,2017,No,2020,Health,Information,No,No,Internet of Things,Pilot,Unknown
26,ADVANCE - Advanced predictive-analysis-based decision-support engine for logistics,Project,Process automation,https://cordis.europa.eu/project/id/257398,,ADVANCE will develop an innovative predictive-analysis-based decision support platform for novel competitive strategies in logistics operations. It will provide a dual perspective on transport requirements and decision making dependent on the latest snapshot information and the best higher-level intelligence.,International,European Union,Institute for Computer Science and Control,Consortium,2010,No,2013,Economic affairs,Information,No,Yes,Artificial Intelligence,Pilot,Unknown
27,PROTEUS - Scalable online machine learning for predictive analytics and real-time interactive visualization,Project,Process digitisation,https://cordis.europa.eu/project/id/687691,,PROTEUS is an online machine learning algorithms and interactive visualization techniques for real-time predictive analytics to deal with extremely large data sets and data streams.,International,European Union,Bournemouth University,Consortium,2015,No,2018,Economic affairs,Information,No,Yes,Artificial Intelligence,Pilot,Unknown
28,CITADEL - A-Stad (Antwerp use case),Project,Process digitisation,http://www.citadel-project.org/,,"A-Stad is a digital platform, created and managed by the city of Antwerp, that includes newsfeeds, e-forms for document requests and administrative formalities, a tool for appointments, all kinds of practical information and so on. The platform includes all the city’s (e-)services for citizens. Citizens, as well as non-citizens can make a personalized profile (A-profile) on the platform.",Local,Belgium,City of Anwerp,Governmental,2016,No,2019,General public services,Information,No,No,API,Pilot,Unknown
29,"Big Policy Canvas - Needs, Trends and ICT Tools for Advanced Data-Driven Public Sector",Project,Process automation,https://cordis.europa.eu/project/id/769623,,"The Big Policy Canvas project worked on ansforming the public sector into an effective, efficient, precise, consistent, and evidence-based policymaking structure. The project’s mission called on understanding and exploring both the technological and the socio-economic landscape that will influence and will be influenced by advanced public sector performance. The findings of Big Policy Canvas would contribute to the sustainability and effective use of the solutions proposed, as well as nurture a more data-inspired, politically educated, smart and caring generation that will improve the public sector experience in Europe.",National,European Union,Atos Spain,Consortium,2017,No,2019,General public services,Service integration,No,No,API,Pilot,Unknown
30,Johan Cruijff Arena,Project,Process automation,https://amsterdaminnovationarena.com/news/internet-of-things-solutions-in-the-johan-cruijff-arena,,"The Johan Cruijff Arena can monitor its turf in real-time and thus ensure an optimal condition, lets fans and concert goers connect to the 54,000-seat stadium via smartphone for directions from home right to their seats, including updates along the way regarding traffic jams and parking availability. The sensors of this technology work on 3 depth layers: as the grass is cut, the mower scans the surface to quantify the number of grass blades, measure growth and identify any damaged points.",Local,Netherlands,Johan Cruijff Arena,Governmental,2018,Yes,,General public services,Service integration,No,No,Internet of Things,In production,Unknown
