id,name,type,url,contact,description,geoextent,geocoverage,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
787,Health Records,Authentication,https://e-estonia.com/solutions/healthcare/,,"Data security startup Guardtime has announced a partnership with the Estonian eHealth Foundation that will see it deploy a blockchain-based system to secure over 1 million patient healthcare records. Under the deal, the foundation will integrate Guardtime's keyless signature infrastructure (KSI) blockchain into the foundation's Oracle database engine to provide ""real-time visibility"" into the state of patient records.",National,Estonia,E-Estonia,Governmental,,Yes,,Health,Control and monitoring,No,No,Blockchain,In production,Unknown
797,Blockchain-based Keyless Signature Infrastructure (KSI),Cybersecurity,https://e-estonia.com/solutions/security-and-safety/,,"KSI is a blockchain technology designed in Estonia and used globally to make sure networks, systems and data are free of compromise, all while retaining 100% data privacy. A blockchain is a distributed public ledger – a database with a set of pre-defined rules for how the ledger is appended by the distributed consensus of the participants in the system. Due to its widely witnessed property, blockchain technology makes it also impossible to change the data already on the blockchain. With KSI Blockchain deployed in Estonian government networks, history cannot be rewritten by anybody and the authenticity of the electronic data can be mathematically proven. It means that no-one – not hackers, not system administrators, and not even government itself – can manipulate the data and get away with that.",National,Estonia,E-Estonia,Governmental,,Yes,,General public services,Certification,Yes,No,Blockchain,In production,Unknown
866,GIZ Blockchain Lab,Governance and voting,http://www.giz.de/blockchain,,"Developing blockchain governance models in the context of the 2030 Agenda for Sustainable Development, the Lab engages the start-up ecosystem, governmental institutions, academia, and the business sector to identify and implement the most promising blockchain use cases for social good. Drive forward the maturity of decentralised governance models for a better world.",National,Germany,Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH,Private,2018,Yes,,General public services,Other,Yes,No,Blockchain,In production,Unknown
1265,Blockchain as Digital Enabler for the European Federalism in the Asylum Context,Other,http://www.bamf.de/DE/DasBAMF/BAMFdigital/Blockchain/blockchain-node.html,,"Together with the German Federal office for Migration and Refugees, the Fraunhofer FIT and technology partners aim to migrate the current German asylum process on a blockchain-based system. This would help the participating nations to reduce the duration and error-rate of the European asylum process. Blockchain allows for cross-organizational refugee management. We deploy the process logic of participating organizations on the blockchain to fasten up and raise the integrity of each asylum process in Europe. BLC thus affords the establishment of a federal, national-agnostic ecosystem for the EU.",National,Germany,Federal office for Migration and Refugees,Governmental,,Yes,,Social protection,Immigration,No,Yes,Blockchain,In development,Unknown
1268,Blockchain & Virtual Currencies Working Group,Other,http://www.finance.gov.ie/what-we-do/shareholding-financial-advisory/virtual-currencies-blockchain-technology/,,"Ireland's Minister for Finance and Public Expenditure & Reform, Paschal Donohoe T.D announced the creation of an internal working group to monitor further developments in the areas of virtual currencies and blockchain technology. To provide clarity to consumers, investors and businesses on matters pertaining to blockchain and virtual currencies in Ireland.",National,Ireland,Ministry for Finance and Public Expenditure & Reform,Governmental,,Yes,,Financial and fiscal affairs,Other,No,Yes,Blockchain,In development,Unknown
849,Securing the Internet of Things,"Tracking of goods, supply chain, IoT",https://www.fnlondon.com/articles/isle-of-man-government-on-blockchain-iot-quest-20160808,,"The Isle of Man partnered with the startup Credits, a blockchain infrastructure provider, to secure IoT technology. The collaborative effort plans on using a distributed ledger to enhance new IoT applications and devices. Credits claims its services enable a broad range of scalable and interoperable applications. The idea behind [the experiment] is that internet of things has a promise of assigning a unique, non-forgeable identity to physical items and what the blockchain provides is the way of managing and maintaining an identity.",Regional,United Kingdom,Isle of Man,Governmental,2016,Yes,,General public services,Control and monitoring,Yes,No,Blockchain,In development,Unknown
850,Digital Currency Business Register,Process digitisation,https://www.whereyoucan.com/Blog/Isle-of-Man-Blockchain-cluster-expansion.aspx,,The Isle of Man Government's Department of Economic Development will create a stand-alone register of Island-based digital currency businesses using the protocol of this local Blockchain service. The Department of Economic Development sought to take a small sub-set of company data – namely the digital currency companies themselves – and secure this using the Blockchain. This is a proof of concept initiative and is not intended to be an alternative for any formal register or directory that the Isle of Man’s Financial Supervision Commission may introduce in the future.,Regional,United Kingdom,Isle of Man,Governmental,2015,Yes,,Financial and fiscal affairs,Registration,No,No,Blockchain,In development,Unknown
2330,New solutions for the traceability of Italian food products,"Tracking of goods, supply chain, IoT",https://vigneviniequalita.edagricole.it/mercato/accordo-csqa-poligrafico-nuove-soluzioni-per-la-tracciabilita-dei-prodotti-agroalimentari-italiani/,,"CSQA Poligrafico agreement: new solutions for the traceability of Italian food products. A collaboration agreement has been signed between Poligrafico and Zecca of the Italian State and CSQA Certificazioni to carry out a project that strengthens the traceability of Italian PDO and PGI products and offers effective communication to consumers.The agreement is part of the framework of activities for the enhancement of quality supply chains, in order to make the professional skills and technological solutions necessary for the protection and promotion of the specialties of our country available to sector operators and citizens.",National,Italy,Italian Istituto Poligrafico e Zecca dello Stato,Governmental,2018,Yes,,Transport,Control and monitoring,No,No,Blockchain,In development,Unknown
2343,DOGANA 4.0,"Tracking of goods, supply chain, IoT",https://www.logisticamanagement.it/it/articles/20180628/blockchain_alcuni_casi_duso_presentati_a_milano,,"The Customs Agency is extensively investigating blockchain technology, as part of a process of improvement and continuous innovation that has seen the Customs switch to an "" eCustoms "" model (from paper to digital) and from this to an idea of Customs 4.0, powered by the most innovative technologies quai IoT, AI and blockchain. The concrete project presented concerns a drink of ancient tradition, the Genepì, a herbal liqueur typical of Piedmont: everything from its production to bottling is now replicated on blockchain (with a QR code as a vehicle for communication to the consumer ) while for the future the information chain is expected to be extended to the transport phase. The project was conducted in collaboration with the technological partner Sogei, with open source products and on Ethereum protocol.",National,Italy,Agenzia delle Dogane,Governmental,2018,Yes,,Transport,Control and monitoring,No,No,Blockchain,In development,Unknown
2349,Food fraud and falsification of Made in Italy,"Tracking of goods, supply chain, IoT",https://www.corrierecomunicazioni.it/digital-economy/blockchain-contro-le-frodi-alimentari-best-case-enology-in-un-tag-nfc-tutta-la-storia-di-una-bottiglia/,,"Food fraud and falsification of Made in Italy: a widespread system to which technology can put a valid barrier against food counterfeiting, which puts consumers at risk and makes producers lose millions of euros. The Blockchain comes to the aid. And it is from the wine sector that the Almaviva traceability platform against counterfeiting started for the Mipaaf, in collaboration with Agea and the national information system for the development of agriculture (Sin). The platform is the first worldwide example in use of public Blockchain , applied to the wine sector on ministerial data. The solution, in fact, unlike other products placed on the market, makes available information relating to Italian wines already present in the Public Administration servers, that is the data of the Sian, National Agricultural Information System, supplied by all the players in the supply chain.",National,Italy,"Ministry of Agricultural, Food and Forestry Policies",Governmental,2018,Yes,,Transport,Control and monitoring,No,No,Blockchain,In production,Unknown
799,Decentralised Digital Identity Pilot,Self Sovereign - digital identity,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"The project team conducted research into the potential powerful combination of digital identity and Blockchain. Since (digital) identity is a broader and complex topic, the scope of the project was brought back to 4 user stories, one of them being age control while purchasing specific goods, such as cigarettes or alcohol. A particular advantage of Blockchain in relation to digital identity could be that it becomes easier to share specific information only in a specific context. Furthermore, each citizen would have control over which data he would share with whom (for obvious reasons, the exceptions can be made for governmental organisations). Going back to the age control, the owner of a shop only needs to know that the person in front of him is older than 18 years old, but currently (has to) ask for a document containing more data.",National,Netherlands,Ministry of Interior Affairs,Governmental,2016,No,,General public services,Control and monitoring,Yes,No,Blockchain,Pilot,Unknown
800,Execution of a judicial decision of juvenile court,Other,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"In The Netherlands, minors can get a so-called HALT sentence for committing (minor) crimes. This sentence means that the minor has to do labour. When the work gets completed, the minor no longer has criminal record. The project team looked into the possibilities to use Blockchain for the registration of labour that has been completed. Blockchain would be an interesting technology for such a log, but important legal questions need to be resolved. For example, would it be legally allowed to store information on a Blockchain permanently if the point of getting a HALT sentence is that the minor can continue his life without a criminal record?",National,Netherlands,Ministry of Justice,Governmental,2016,No,,General public services,Registration,No,No,Blockchain,Pilot,Unknown
802,Toxic Waste Transport,"Tracking of goods, supply chain, IoT",https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"Transporting toxic waste from the Netherlands to another EU State in order for it to get disposed is a complex process that involves multiple stakeholders: the Human Environment and Transport Inspectorate (HETI), its foreign counterpart, the company that wants to dispose waste, a transport company and the company that will take care of the disposal. Currently, this is a paper-intensive process that requires all parties to have their own administration. During their pilot project, the HETI rethought the entire process. All notifications during this logistical process would go through different applications; approval for a transport could be automated based on a smart contract on the Blockchain.",National,Netherlands,Human Environment and Transport Inspectorate,Governmental,2016,No,,General public services,Asset management,No,No,Blockchain,Pilot,Unknown
803,Public Healthcare Benefits Subsidy,Process digitisation,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,Created a blockchain process to make the financial and administrative process for subsidized public healthcare services more efficient.,National,Netherlands,CAK,Governmental,2016,No,,Health,Financial support,No,No,Blockchain,Pilot,Unknown
804,Healthcare Process Authorization,Auditing and Logging,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"The Healthcare Institute focused on authorisations in the healthcare process. The pilot project evolved around a fictional elderly person, who required care from different healthcare providers. Who can make arrangements when this person ends up in a (temporary) emergency situation currently is arranged in an informal way or at best registered in a notebook. Healthcare providers don’t always know each other or aren’t aware of specific arrangements. The Healthcare Institute sees Blockchain as a technology that can create a clear overview of authorisations in the healthcare process. It has developed a prototype on Ethereum, which allows involved healthcare providers to get real time information on a need to know basis about their client/ patient. The client/patient has more control over his data and can determine - via an application - which professional can get access to additional information.",National,Netherlands,Healthcare Institute,Governmental,2016,No,,Health,Control and monitoring,No,No,Blockchain,Pilot,Unknown
806,FlashCompany,Process digitisation,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"Establishing a temporary foundation in order to collect money for a good cause is a time consuming administrative process. The Chamber looked into the possible benefits of establishing a temporary organisation (FlashCompany) on the Blockchain. It found out that for the registration process (online), opening a bank account (can be linked automatically) and selecting conditions for establishing and ending the temporary organisation, Blockchain would be a viable solution. In addition, using smart contracts for donations (“If this video has 1000 views, I will donate 100 Euro”) could be interesting.",National,Netherlands,Chamber of Commerce,Governmental,2016,No,,General public services,Registration,Yes,No,Blockchain,Pilot,Unknown
808,Blockchain-based Land Registry,"Tracking of goods, supply chain, IoT",https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"In this second round of blockchain pilots with the government, we looked at and co-designed with a pilot from the municipality of Eindhoven. The Department does not only register ownership of real estate, but also registers and provides geo-information data. Sometimes the data is used in the wrong context, or an outdated set is accidentally used. By applying the blockchain, the Kadaster can immediately specify the most up-to-date dataset by means of a timestamp. It can then be used when filling in a form for environmental law requirements as well as other use cases. All participants can then establish that the data is up-to-date and correct. Providing these open data sets within the blockchain is not a very complicated process, but is therefore suitable to use to build a first blockchain prototype. The Kadaster is also researching work from other countries that are already experimenting with the blockchain and is looking to apply certain elements in the Netherlands.",National,Netherlands,Kadaster Gemeente Eindhoven,Governmental,2016,No,,General economic and commercial affairs,Registration,No,No,Blockchain,Pilot,Unknown
812,Truck Driver Tracking,"Tracking of goods, supply chain, IoT",https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,Developed a blockchain-based system for the tracking of working and resting hours of truck drivers.,National,Netherlands,Human Environment and Transport Inspectorate,Governmental,2016,No,,Transport,Control and monitoring,No,No,Blockchain,Pilot,Unknown
813,Financing New School Buildings,Process digitisation,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,Built a prototype on Ethereum in collaboration with ING to improve the process of financing the development of new school buildings. This administrative and financial process involves multiple governmental organisations.,National,Netherlands,Ministry of Finance,Governmental,2016,No,,General public services,Financial support,No,No,Blockchain,Pilot,Unknown
814,Electric Vehicle Subsidy Registry,Process digitisation,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,Develop a significantly improved (and highly automated) regulation for subsidies on electric vehicles.,Local,Netherlands,City of the Hague,Governmental,2016,No,,General public services,Financial support,No,No,Blockchain,Pilot,Unknown
815,Medical Instrument Registration,Process digitisation,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"The CIBG manages, records and provides information for the government. Especially in the field of health care. One of the most well-known registers of the CIBG is probably the BIG registry where medical professionals are registered. But there are still more data that fall under the management of the CIBG. This registration has been largely digitized and the CIBG could therefore call you an ICT-driven organization. Does the blockchain still have added value?",National,Netherlands,CIBG,Governmental,2016,No,,Health,Registration,No,No,Blockchain,Pilot,Unknown
816,Employment and Identity Fraud,Authentication,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"Created a use case for the improvement of data sharing with several other governmental organizations in order to improve detection of fraud, exploitation and organized crime within the chain of work and income.",National,Netherlands,The Inspectorate of the Ministry of Employment,Governmental,2016,No,,General public services,Control and monitoring,No,No,Blockchain,Pilot,Unknown
817,Multi-stakeholder Financial Arrangements,Disintermediation and decentralized networks,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,Developed a use case for the improvement of financial arrangements that involved multiple stakeholders.,National,Netherlands,Ministry of Foreign Affairs,Governmental,2016,No,,Financial and fiscal affairs,Other,No,No,Blockchain,Pilot,Unknown
824,Large Event Permitting,Process digitisation,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"The municipalities of Barendrecht, Albrandswaard and Ridderkerk's BAR Organization looked into ways in which they could apply blockchain to various permitting processes such as street parties. The BAR organization looked at small-scale events where someone applies for a license for a street party. Currently, the permit application is submitted to the municipality, but must be checked by several authorities, such as the fire department or police to approve or deny the permit based on feasibility. All these control moments and advice are again collected by the municipality and then it is checked whether the event permit can be issued. With the pilot team and experts, the BAR organization tried to model this process on the blockchain automating standard procedures with smart contracts. An additional advantage is that all involved agencies are now also immediately aware of each other's advice and any objections, without intervention of the municipality. Both matters mean a huge reduction in the burden on the work within the municipality. Everything can be done faster and the procedure becomes less vulnerable because a large part of the communication is no longer necessary.",Local,Netherlands,BAR Organization Gemeente Barendrecht Gemeente Albrandswaard Gemeente Ridderkerk,Governmental,2016,No,,General public services,Control and monitoring,No,No,Blockchain,Pilot,Unknown
825,Waste Sector Data Sharing,Process digitisation,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"The city of Utrecht is piloting blockchain for 'waste processing'. The city believes apparent that organisation of the waste processing in the blockchain could bring many benefits. Specifically, the way in which waste weight per empty container is registered. In the pilot, the waste weight data is linked to that of the transporters, intermediaries and final processors, and organized via the blockchain. All these parties keep their own administration. Blockchain can contribute to a joint administration that provides absolute certainty about the integrity of the data. Another big advantage is that a number of control moments are automatically controlled via smart contracts. At the same time, we have insight into the entire process from waste container to final processor.",Local,Netherlands,Gemeente Utrecht,Governmental,2016,No,,Waste management,Control and monitoring,No,No,Blockchain,Pilot,Unknown
826,Blockchain-based Digital Identity: Do-it-Yourself Marriage,Self Sovereign - digital identity,https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf,,"Rijksdienst voor Identiteitsgegevens (RvIG) is investigating how digital identity can be implemented on blockchains for Dutch citizens According to RvIG, a reliable, easy-to-use digital identity is a prerequisite for being able to participate in the blockchain. There are still many questions open about the concept of digital identity. RvIG recently organized an internal blockchain workshop. One of the most appealing examples of 'identity in the blockchain' that came up was the do-it-yourself marriage. For the conclusion of a marriage, three parties are now needed: the two partners who decide to marry and the registrar of the civil registry who closes the marriage. The civil registrar's role is that of the 'third party that creates trust and can conclude the agreement after checking.' The nature of the blockchain means that this 'third party' is in some cases superfluous. In theory, this could also apply to a marriage: via the blockchain, the identity and intention of the two partners can be checked and verified via smart contracts and the decentralized databases. The marriage could thus be completed via the blockchain.",National,Netherlands,Rijksdienst voor Identiteitsgegevens (RvIG) Gemeente Zaanstad,Governmental,2016,No,,General public services,Service integration,Yes,No,Blockchain,Pilot,Unknown
827,Aid Subsidy Collection,Process digitisation,https://www.zuidhorn.nl/bestuur-en-organisatie/nieuws_3800/item/innovatieve-uitvoering-kindpakket-met-belangrijke-eerste-stap-blockchain-technologie_6490.html,,"The municipality of Zuidhorn has found a unique and innovative way to implement the Kindpakket subsidies via blockchain technology. The Child Package is a budget for children of parents with a minimum income. In the municipality of Zuidhorn about 150 children are eligible for the program. This money is used by the municipality for disadvantaged children, giving them the opportunity to participate in social activities, in sports and cultural activities at school. The municipality carries out this national assignment with local entrepreneurs and associations. Within the city, two students have been engaged in research into the possible applications of blockchain in municipal services. They have designed the implementation of the Kindpakket in a new and very user-friendly way with blockchain. The recipient of the Kindpakket can take out the purchase in a simple administrative and financial manner. The 'customer' pays, for example buying a bicycle, with a specific code and the entrepreneur gets the money directly into his account with no intervention from the municipality.",Local,Netherlands,Gemeente Zuidhorn,Governmental,2016,Yes,,Social protection,Financial support,No,No,Blockchain,In development,Unknown
774,IoT & Blockchain Lab,"Tracking of goods, supply chain, IoT",http://www.itainnova.es,,"The IoT & Blockchain Lab is a innovation ecosystem in which companies, people in training, entrepreneurs and ITAINNOVA staff work together in the development of new systems and products with IoT&Blockchain and Data Analytics for Supply Chain, Transport and Industry. The objective of the lab is to generate an innovation ecosystem in which companies, people in training, entrepreneurs and ITAINNOVA staff work together in the development of new systems and products that generate high value for our society through the IoT, Blockchain and Data Analytics.",Regional,Spain,Aragon Government,Governmental,2018,Yes,,Transport,Other,No,No,Blockchain,In development,Unknown
1769,TrustForWills,Process digitisation,https://www.atsistemas.com,,"In the context of digital legacy, TrustForWills ensures the automated compliance of users' wills in case of temporary disability or death. This is a government supported initiative aimed at promoting the adoption of blockchain technology. To stimulate the generation of new business models within the legal sector by covering the management of currently unsupported patrimonies such as those pertaining to digital assets ecosystem.",National,Spain,Ministery of Economy Tourism and Digital Agenda (Spain),Governmental,2018,Yes,,General public services,Control and monitoring,No,No,Blockchain,In development,Unknown
2118,Distributed Open Data Portal,Auditing and Logging,https://dadesobertes.valls.cat/,,"Open data portal in which the different data sets and resources are published both in the web portal and in a distributed network based on IPFS (data persistence). At the same time data is accountable by logging all changes on a distributed, immutable database (Ethereum)Improve citizen participation. Reinforce commitment with citizens. Security and resilience",Local,Spain,Ajuntament de Valls (Valls City Council),Governmental,2019,Yes,,General public services,Data access,Yes,No,Blockchain,In production,Unknown
834,Decentralized Energy Trading Marketplace,Disintermediation and decentralized networks,http://news.vattenfall.com/en/article/forefront-field-trial-blockchain-technology,,"Swedish state-owned energy company Vattenfall is to collaborate with 22 other European energy trading firms to launch a blockchain-based pilot. Should the project prove successful it would become the world’s first blockchain-based trading system for wholesale energy. Vattenfall’s Business Area Markets division will conduct the pilot in order to deepen its understanding of the technology and conclude whether or not such a decentralised solution could match its existing trading platforms while simultaneously reducing cost. The trial will be managed by Hamburg-based B2B solutions provider Ponton, which will provide software that facilitates encrypted sending and receipt of orders through a decentralised order book. The trading is all managed on a peer-to-peer basis, removing the need for a central marketplace that is operated by a third party exchange or broker.",International,Sweden,Vattenfall - Business Area Markets,Governmental,2016,Yes,,Fuel and energy,Other,No,Yes,Blockchain,In development,Unknown
1093,e-Government Pilot Project,Self Sovereign - digital identity,http://www.tcbe.ch/news/focus-2017/blockchain-technologie.html,,"Procivis, a specialist provider of electronic government services, the startup will supply the Canton of Schaffhausen with an electronic Citizen-ID based on a mobile app, which will be available to citizens free of charge. The Citizen-ID is planned to be launched later this year as a pilot project. The collaboration with the Canton of Schaffhausen marks Procivis’s first Swiss client win after having launched the beta version of its e-government platform, called “eID+”, two months ago. The Procivis solution will function as the technical backbone for identity-related online services, which form part of Schaffhausen’s citizen portal. Citizens of the canton will get access to their official, electronic Citizen-ID through a mobile application, which allows them to log on to the citizen portal and use the available government services, such as residents’ registration office or tax services.",Regional,Switzerland,Canton of Schaffhausen,Governmental,2017,Yes,,General public services,Control and monitoring,Yes,No,Blockchain,In development,Unknown
1094,Swiss Cryptovalley,Disintermediation and decentralized networks,https://cryptovalley.swiss/,,"On March 1, 2017, the Crypto Valley Association (CVA) launched in Zug, Switzerland with the goal of accelerating the development, deployment, and funding of blockchain technology. The CVA is a government-backed institution focused on blockchain innovation and is comprised of several major blue chip members, disruptive startups, and globally recognized leaders. The association has set up headquarters in the canton of Zug, a region of Switzerland known as “Crypto Valley.” Led by fintech and blockchain influencer Oliver Bussmann, the CVA launch members include Ethereum-based ConsenSys, Lucerne University of Applied Sciences and Arts, Luxoft, PricewaterhouseCoopers, Thomson Reuters, and UBS. The CVA will support startups and established enterprises through policy recommendations, implementing research projects, and organizing conferences, hackathons, and other blockchain-based events. Taking advantage of the country’s environment of free speech and data privacy, the CVA seeks to foster innovation within the world’s leading blockchain and cryptographic ecosystem to pioneer digital technologies within Switzerland as well as internationally.",International,Switzerland,Swiss Federal Government,Governmental,2017,Yes,,Financial and fiscal affairs,Other,No,No,Blockchain,In production,Unknown
2318,City of Zug Blockchain Voting Trial,Governance and voting,https://www.coindesk.com/crypto-valley-declares-blockchain-voting-trial-a-success,,"The Swiss city launched an e-voting pilot platform built on a blockchain as part of the city’s efforts to embrace the technology. The voting process took place between June 25 and July 1, and stored both polling information and residents’ IDs on the system.""We will build the e-voting platform ‘Open Source’ so that people can understand what the technology is and how it works. We want to encourage more people to develop blockchain-based applications for governments worldwide.""",Local,Switzerland,City of Zug,Governmental,2018,Yes,,General public services,Other,Yes,No,Blockchain,Pilot,Unknown
