,name,description,url,geoextent,geocoverage,lead_organization_name,lead_organization_category,start_date,end_date,primary_sector,secondary_sector,cross_sector,cross_border,technology,status,uptake
10,National Research Council of Canada Blockchain Project,"The National Research Council has conducted a trial of public blockchain technology (on Ethereum) for the transparent administration of government contracts. Under the pilot system, information on new and amended contribution agreements with firms is published on the blockchain in real time.  ",https://www.nrc-cnrc.gc.ca/eng/stories/2018/blockchains.html,National,Canada,,Unknown,,,,,,,Blockchain,Pilot,Unknown
11,Public Services and Procurement Canada Blockchain-enabled Supplier Registration Information,"The project stores information on suppliers on a blockchain. The information comes from or is validated by authoritative sources. Certain information that suppliers provide are initially self-declared (e.g. aboriginal status). A request of proof can then be sent via the block-chain to whichever government department holds the relevant authoritative records. The idea is to eventually store this information in a ""business wallet"" on the blockchain. However, this hasn't been rolled out yet. A partner project is also ongoing in the Province of British Colombia, with similar functionalities. These two blockchains are linked so that Public services and procurement Canada can use the other blockchain as a map of who holds authoritative information on different (procurement related) issues in British Colombia. Data is not transferred across the two blockchains, however. ",https://ec.europa.eu/docsroom/documents/32211,National,Canada,,Unknown,,,,,,,Blockchain,Pilot,Unknown
12,V-ICT-OR Blockchain Project,V-ICT-OR (the membership organization for those involved in ICT and information management at Flemish local governments) teamed up with Digipolis to launch a challenge for blockchain solutions for procurement. The project was used as a way to become acquainted with a new way of organising the procurement process. It was successfully implemented and the solution is currently being programmed.,https://www.vlerick.com/~/media/corporate-marketing/our-expertise/pdf/20170927BarometerInnovativePublicProcurementpdf.pdf,National,Belgium,,Unknown,,,,,,,Blockchain,In development,Unknown
13,Public Procurement Advisory Unit Blockchain Project,"A House of Lords report, highlighted the transformational impact that distributed ledger technology could have on public services - noting public procurement as one of the areas that could be transformed. According to the report, distributed ledger technology has the potential to provide greater visibility and understanding of the supply market, and enable moves towards a more distributed model for public sector buying. The report also notes the potential of smart contracts to enable a dynamic public procurement model.  ",http://chrisholmes.co.uk/wp-content/uploads/2017/11/Distributed-Ledger-Technologies-for-Public-Good_leadership-collaboration-and-innovation.pdf,National,United Kingdom,,Unknown,,,,,,,Blockchain,In development,Unknown
14,Federal Government of UAE Blockchain Project,"The United Arab Emirates launched a blockchain strategy in 2018 that has set an aim to conduct 50% of all transactions at the federal level using blockchain technology by 2021. This comes after Dubai had launched a similar strategy in the context of its smart city initiative few years ago. A major way in which blockchain technology is estimated to save costs is through reducing dependence on document-based transactions. As procurement is one of the major functions of government departments, and also a document-intensive process, applications for the technology in procurement may be identified. ",https://www.opengovasia.com/uae-government-launches-blockchain-strategy-2021/,National,United Arab Emirates,,Unknown,,,,,,,Blockchain,In development,Unknown
15,Government of Austria Blockchain Project,"The Austrian government is supporting new research centres for blockchain. In a document outlining a digital roadmap for 2025, contracts process is identified as one of the potential uses of blockchain technology. ",https://www.coindesk.com/austrian-government-backs-new-blockchain-research-institute,National,Austria,,Unknown,,,,,,,Blockchain,In development,Unknown
16,Southern European Countries Ministerial Declaration on Distributed Ledger Technologies,"Seven EU member nations from South Europe signed a joint declaration to promote the adoption of blockchain in the region. The major thrust is on making government services more efficient and transparent. This could mean further applications to public procurement as well. The countries are France, Italy, Spain, Malta, Cyprus, Portugal and Spain.",https://www.coindesk.com/7-southern-eu-nations-unite-to-take-lead-on-blockchain-adoption,International,Community,,Unknown,,,,,,,Blockchain,In development,Unknown
17,"Asian Development Bank, Global eGP Architecture using Blockchain Technology","In a technical report, consultants for the Asian Development Bank described the main features of a plan to create a global eGovernment Procurement Architecture that would interlink and bring together relevant data from all of the eGovernment Procurement systems from around the world. The primary aims of this architecture would be to provide: a de-duplicated Global database of suppliers; and an authenticated, global online repository of work experience certificates.",https://www.adb.org/projects/documents/reg-47192-001-tacr-3,International,Community,,Unknown,,,,,,,Blockchain,In development,Unknown
18,NATO Communications and Information  Agency Blockchain Project,"NATO has been looking into blockchain’s use cases in regards to military logistics and procurement, and are also studying how it could mesh together with other cutting-edge concepts like the IoT.",https://www.coindesk.com/nato-innovation-contest-seeks-military-blockchain-applications,International,Community,,Unknown,,,,,,,Blockchain,In development,Unknown
19,United Nations Office for Project Services Blockchain Project,"UNOPS has partnered with IOTA to explore how IOTA's innovative technology - an open-source distributed ledger specifically for application to the internet of things - can increase the efficiency of UNOPS operations, procurement being one of them. IOTA’s distributed ledger can provide a greater level of efficiency in the management and tracking of UN documents, supply chains and transactional payments in real-time. ",https://www.unops.org/news-and-stories/news/unops-and-iota-collaborate-to-bring-transparency-and-efficiency-to-un-work,International,Community,,Unknown,,,,,,,Blockchain,In development,Unknown
20,Gabrovo Municipality Blockchain Proof of Concept,"Under the proof of concept developed for the Bulgarian municipality, a blockchain was developed that would serve as a sort of marketplace for a cluster of municipalities (each municipality being too small to develop its procurement function to a top level individually). Each municipality would be able to launch requests for tenders in the form of a smart contract. Potential suppliers can respond with their tenders (probably also in the form of a smart contract). Under this system, an automatic matching would be done between the requirements of the request for tender and the supplier's offer. The qualification/disqualification process can be automated (and the buyer will not be able to see the price offer if the supplier is disqualified). The evaluation process could also be automated. The system also provides a way to bring transparency to the procurement process.",,National,Bulgaria,,Unknown,,,,,,,Blockchain,In development,Unknown
21,"Digipolis Antwerp, Smart procurement tool","Digipolis, the IT agency for Antwerp, is developing a blockchain-based application together with its partner for the project, BallistiX, which will allow for the publication of a quotation request and submission and opening of quotations. It is believed that the use of blockchain will guarantee the reliability of each step of the procurement process, as they will be recorded in a transparent manner.",http://www.innovatieveoverheidsopdrachten.be/en/projects/public-spatial-planning-projects-augmented-and-virtual-reality,National,Belgium,,Unknown,,,,,,,Blockchain,In development,Unknown
22,"Malta Information Technology Agency (MITA),  Smart Public Contracts","Under the project, MITA and the University of Malta are collaborating to develop a first prototype of a smart contract with the aim of turring their public procurement contracts into smart contracts. The project will develop a smart contract which will automatically record events on the blockchain, a centralised database to record other events not on the blockchain, and a centralised web application to provide an interface with the smart contract and the centralised database.",,National,Malta,,Unknown,,,,,,,Blockchain,In development,Unknown
23,"State of New York, Strategic Sourcing ","The State of New York analyses data about its purchases and uses the insights from the data to increase volume from fewer suppliers to enable discounts. This strategy, known as strategic sourcing, coupled with procurement process efficiencies, saved the state $780 million over five years on purchases across 47 different categories. Examples of areas where strategic sourcing is beneficial to the state include office supplies, IT hardware and software, telecommunications, facilities, fleet and vehicle purchases and maintenance, advertising, travel, and medical products.",https://datasmart.ash.harvard.edu/news/article/ten-great-ways-data-can-make-government-better-1041,National,USA,,Unknown,,,,,,,Data analytics,In production,Unknown
24,"Public Procurement Authority, Big data project","In 2013, Turkey's Public Procurement Authority added a business intelligence module to the Electronic Public Procurement Platform to gather statistical data, and improve processes through data mining. ",http://www.mju.gov.si/en/media_room/news/8631/,National,Turkey,,Unknown,,,,,,,Data analytics,In production,Unknown
25,"Ministry of Public Administration, Big data project","The ministry collaborated with EMC Dell to implement a first pilot project exploring the opportunities of using big data to drive a data-driven public administration. Data on human resources, finance and public procurement was combined with external data sources. The results of the analysis showed that there was considerable potential for lowering costs related to public procurement.",http://www.mju.gov.si/en/media_room/news/8631/,National,Slovenia,,Unknown,,,,,,,Data analytics,Pilot,Unknown
26,"Procurement Monitoring Bureau, ZoomChart ",The Procurement Monitoring Bureau of Latvia has integrated the ZoomChart software to provide a functional and visually stimulating information on procurement activities.,https://zoomcharts.wordpress.com/2015/03/09/zoomcharts-on-the-procurement-monitoring-bureau-of-latvia-website/,National,Latvia,,Unknown,,,,,,,Data analytics,In production,Unknown
27,"Colombia Compra Eficiente, SECOP II","Colombia's e-procurement platform, SECOP II provides business intelligence functionalities, for example providing aggregate date on numbers, duration and amounts of contract per product or service. ",https://www.colombiacompra.gov.co/sites/cce_public/files/cce_documentos/the_review_of_the_colombian_public_procurement_system.pdf,National,Colombia,,Unknown,,,,,,,Data analytics,In production,Unknown
28,"Public Services and Procurement Canada, Big data project","The agency has partnered with Infosys, EY and SAP to modernize and automate the procurement process. The firms will implement and manage a SAP based procurement solution which will run on cloud. The digital portal will leverage data to provide real-time analytical insights.",https://economictimes.indiatimes.com/tech/ites/infosys-bags-cad-80-3-million-deal-from-public-services-and-procurement-canada/articleshow/65938455.cms,National,Canada,,Unknown,,,,,,,Data analytics,In development,Unknown
29,"Public Services and Procurement Canada, OCDS project, ","Buyandsell Canada plan to investigate how the open contracting data standard could be used to link data end-to-end along the public procurement process. Currently requisition data exists, but it is stored in a separate financial dataset managed by a different entity. Using historical data on 300-500 companies, the team will investigate the benefit of linking this data and demonstrate what information can be gathered by doing so.",,National,Canada,,Unknown,,,,,,,Data analytics,In development,Unknown
30,"Ministry of Planning, Development and Management, Big data project ","Under this project, a price dashboard was created that helps government officials track, analyse and visualize the prices at which the federal government has bought materials and services since 2015. This information is used to reduce the risk of government agencies overpaying and is also provided to citizens to ensure total transparency.",https://www.qlik.com/us/company/press-room/press-releases/0712-brazilian-ministry-of-planning-ensures-more-transparency-with-qlik,National,Brazil,,Unknown,,,,,,,Data analytics,In production,Unknown
31,"Flemish Department of Mobility and Public Works, e-Delta","e-Delta is a modern contract management system that supports the purchasing government in the administrative process of creating and managing procurement contracts. It interfaces with a wide variety of other systems and applications and makes it possible to reuse previous data, take into account the historical performance of historical performance of companies and easily generate reports.",,National,Belgium,,Unknown,,,,,,,Data analytics,In production,Unknown
32,"Department of Mobility & Public Works, Medium for Economic Data, Information and Applications on Public Procurement (MEDIAAN)","MEDIAAN is an online platform that gathers a wide array of applications, databases, and other instruments related to pricing of public procurement contracts and cost engineering aspects with regard to infrastructure projects. It uses historical data from past tenders to provide the purchasing government support for pricing analysis, pricing assessment, and pricing review. The user can get analysis on various parameters - quantity, time, award procedure etc. ",https://www.vlerick.com/~/media/corporate-marketing/our-expertise/pdf/20170927BarometerInnovativePublicProcurement.pdf,National,Belgium,,Unknown,,,,,,,Data analytics,In production,Unknown
33,"Agjencia Erokurimit Publik, Business intelligence project","Albania's public procurement agency undertook a project to augment the functionalities of its electronic procurement portal. As part of this, they developed a 'business intelligence' system for complex reporting and analysis. Other initiatives included an archiving system for completed procedures, automation of inventory and realization records etc. ",http://www.app.gov.al/GetData/DownloadDoc?documentId=d782105f-29d1-42a6-af38-649d90be2179,National,Albania,,Unknown,,,,,,,Data analytics,In production,Unknown
34,"IT Directorate, Ministry of Public Administration, SKRINJA 2.0",The ICT department of the Ministry of Public Administration is planning to implement a data warehouse and business intelligence system that shall be configured as a horizontal service on Government Computer Cloud till 2022 to promote data-driven decision making in public administration. The Ministry also handles the procurement activities of the country and therefore there is a prospect of utilizing the system in the procurement procedures as well.  ,http://www.mju.gov.si/en/areas_of_work/information_and_communications_technology/,National,Slovenia,,Unknown,,,,,,,Data analytics,In development,Unknown
35,"US Treasury, Data Lab,","The Data Lab is an analytics portal using the data on government spending posted on the USAspending.gov site. It provides visibility on activities, contracts, and grants across all agencies. The function allows visualisation of grant spending, and the production of spending maps. Data is published in an open data format.",https://datalab.usaspending.gov/index.html,National,USA,,Unknown,,,,,,,Data analytics,In production,Unknown
36,Digiwhist,"This H2020 funded project focussed on the systematic collection, structuring, analysis, and broad dissemination of information on public procurement. It made use of big data analytics to detect potential conflicts of interest in the system of public procurement and to identify system vulnerabilities",http://digiwhist.eu/about-digiwhist/,International,European Union,,Unknown,,,,,,,Data analytics,In production,Unknown
37,Red flags,The European Commission funded project provides an interactive tool that allows for the monitoring of procurement processes. It automatically checks procurement documents and flags risky procurement documents using a special algorithm. Users can subscribe to receive alerts if risky procurements are published in their field of interest.,http://redflags.eu/,International,European Union,,Unknown,,,,,,,Data analytics,In production,Unknown
38,Trade Assurance Program,"The Chinese government is cooperating with the e-Commerce platform provider, Alibaba. Procurement officials are able to buy from Chinese suppliers through Alibaba's B2B e-commerce platform under its Trade Assurance Program. Alibaba vets and evaluates the millions of buyers and suppliers using its platform to connect. When a supplier is evaluated, Alibaba guarantees to buyers that purchases will be delivered on time and will uphold the standard upon which the buyer and supplier agreed.",https://www.pymnts.com/news/b2b-payments/2015/alibaba-gives-procurement-officials-piece-of-mind/,National,China,,Unknown,,,,,,,Data analytics,In production,Unknown
39,"Ministry of Finance, eProcurement system","Within the Armenian eProcurement system there is a Business Intelligence instrument which is used for analysis, monitoring and control purposes. Among the information summarised using this tool is the number of complete procedures, share of complete procedures and value of these procedures. It allows a breakdown of competitive and non-competitive procedures and visualisation of the data. ",https://e-gp.adb.org/wp-content/uploads/2018/10/Session-2A-Armenia-by-Sergy-Shahnazavryan_.pdf,National,Armenia,,Unknown,,,,,,,Data analytics,In production,Unknown
40,"State procurement agency, Open data approach, ","The Georgian state procurement agency is pursuing an open data approach for its public procurement data. As part of this it has implemented a data visualisation system allowing it greater visibility on issues such as number of announced tenders, types of suppliers and most active suppliers, and number of disputes.",https://e-gp.adb.org/repository/georgia-eprocurement-system-innovative-e-procedures-and-cutting-edge-e-services/,National,Georgia,,Unknown,,,,,,,Data analytics,In production,Unknown
41,"Korean Public Procurement Service, Public Procurement Data System, ","The system links data from the national e-procurement system - KONEPS- as well as 23 other electronic procurement platforms for specific procuring entities. Reports are prepared on the basis of the data collected on the government bodies, companies and projects. This data is also presented in infographics. The KONEPS statistics module can for example provide insights into things such as the use of various contract types, proportion of central vs independent contracts and progress towards social objective goals. ",https://www.oecd-ilibrary.org/governance/the-korean-public-procurement-service_9789264249431-en,National,South Korea,,Unknown,,,,,,,Data analytics,In production,Unknown
42,"Bid-rigging Indicator Analysis System (BRIAS), Korean Public Procurement Service","The Korean Fair Trade Commission (FTC) developed the Bid-rigging Indicator Analysis System back in 2006 drawing data directly from the Korean eProcurement system (KONEPS), for example on bidding price, and number of competitors, to generate a bid-rigging score. Cases that score above a certain threshold are flagged for further investigation. BRIAS collects information from KONEPS on a daily basis. In 2012, BRIAS was run on about 20 000 cases, flagging 200 of them for further investigation. However, only 3 of the cases initially flagged by BRIAS led to findings of guilt. ",https://www.oecd.org/governance/procurement/toolbox/search/korea-bid-rigging-indicator-analysis-system-brias.pdf,National,South Korea,,Unknown,,,,,,,Data analytics,In production,Unknown
43,"Agency for Public Management and eGovernment, Digital procurement program","Under the program, the agency is first working on capturing all the data from transactions between suppliers and public buyers. Their plan for doing this involves setting up a system whereby invoices are automatically sent over the Peppol network to both the consumer and to DIFI, which stores them in a single database. The first step is to test this concept, through a first pilot due this year. The idea is that eventually this data can be used to help automate various parts of the procurement process. One initial hypotheses on how this could be done is automated categorisation of the product types that are being procured. It is thought that the data could also be used to provide input into the state budget.",,National,Norway,,Unknown,,,,,,,Data analytics,In development,Unknown
44,"Federal Audit Court (TCU), Labcontas project","Under the Labcontas project (Laboratory of Information and Control), the Federal Audit Court - TCU, has brought together 96 databases, enabling the cross-checking and verification of information from a number of sources, and enabling uses such as the detection of fraud. ALICE, MONICA and SOFIA, are three automated tools that have been developed using the data from Labcontas. 


ALICE performs a daily analysis of all bids from federal agencies. Each day, the results of its analysis are sent to TCU auditors by email, with the system flagging any abnormalities about the bids, for example requiring participants to obtain certificates that the TCU does not consider to be prerequisites.

Meanwhile, MONICA is a panel providing the visualisation of public purchasing data, such as the suppliers that are most contracted and the types of service most used. Finally SOFIA is a tool that analyses the reports developed by auditors. It points out errors and suggests correlations and reference sources.",https://panoramapublico.com/2018/03/26/big-data-e-gestao-publica/,National,Brazil,,Unknown,,,,,,,Data analytics,In production,Unknown
45,"Ministry of Antimonopoly Regulation and Trade, Public Procurement Reporting Module","Together with the EBRD, the Government of Belarus has developed business intelligence approach linked to its eProcurement platform to transform raw data into meaningful and useful information. Key performance indicators were developed and implemented to show trends, with results displayed graphically in an easy to understand fashion. Reports are produced on compliance and performance.",,National,Belarus,,Unknown,,,,,,,Data analytics,In production,Unknown
46,"Consip, Open data platform",Consip wanted to publish data on all public tenders so that stakeholders can examine and analyse the data themselves. In order to do this they have set up an open data platform which runs on the open source ckan cloud infrastructure platform.,,National,Italy,,Unknown,,,,,,,Data analytics,In production,Unknown
47,"Department of Health and Human Services, HHS Accelerate","The Department of Human and Health Services has developed a blockchain and AI based system that gives acquisition teams detailed, real-time information on pricing and terms and conditions from across HHS for 10 categories of purchases. The system pulls data from five contract-writing systems (providing information on about 100 000 contracts and nearly 25 billion dollars in annual spend). The information is used to help agencies make strategic decisions about the sourcing of goods/services. The project uses a machine learning based algorithm to provide real-time pricing insights on the basis of this data. The Department has received an 'Authority to Operate' for the system in December. ",https://washingtontechnology.com/articles/2018/07/26/hhs-blockchain.aspx,National,USA,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
48,"Department of Health and Human Services, HHS Buy Smarter ","The Buy smarter project uses AI technology to analyse departmental requirements based on spending data from right across HHS. This analysis is used to identify overlapping requirements across agencies within HHS and on this basis consolidate contract vehicles. This produces considerable cost savings. Buy Smarter draws on the HHS Accelerate blockchain project which links the different data sets in order to access the data it needs. 

The overarching Buy Smarter project aims not just at tweaking existing acquisition processes but at structural transformation of how HHS agencies acquire their goods and services together.",https://www.hhs.gov/sites/default/files/hhs-buysmarter-journey.pdf,National,USA,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
49,"San Francisco City Government, PAIGE","The Procurement Answers and Information Guided Experience (PAIGE) is a digital assistant to solve queries of the internal workforce of the San Francisco government agencies related to IT procurement procedures. PAIGE can currently answer about 1000 questions, and has about 400 answers it can deploy. The project draws about machine learning and natural language processing techniques. ",https://statescoop.com/san-francisco-procurement-chatbot/,National,USA,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
50,"El Paso City Government, ASK LAURA","The public procurement portal of the El Paso city has an AI enabled chatbot to answer customer-service type queries relating to the procurement process. The chatbot, ""Ask Laura"", is able to field questions such as how to register as a vendor; how to do business with special programs, and where to find bids. Users are able to type in questions, while the chatbot can respond via voice and also appears on the screen with the avatar of a woman.",http://www.govtech.com/dc/Meet-El-Pasos-Chatbot-Ask-Laura-Shes-a-Real-Game-Changer.html,National,USA,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
51,"US Air Force, AI Project","In collaboration with IBM, the AI powered system aims to help government vendors bid for military contracts by helping them navigate through the complex Federal Acquisition Regulations. The machine will first be fed all the relevant documents and regulations. Human ""trainers"" will then ask it questions on the procurement process to help it develop its understanding.",https://www.rt.com/usa/336177-usaf-watson-computer-procurement/,National,USA,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
52,Performance Information Procurement System (PIPS),"The Performance Information Procurement System (PIPS) was developed as a way of reducing bias in the procurement process, an issue which was thought to be responsible for overrun budgets. The system was designed to help reach procurement decisions on an objective basis. The system was tested on the procurement of the $2.96 million Bridgerland Academic Training Center (ATC). The test was reported as highly successful, resulting in one of the most successful construction projects procured in Utah (on time, on budget and high quality). ",https://pbsrg.com/best-value-approach/,National,USA,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
53,"ProZorro, Risk indicators","ProZorro is a hybrid electronic government e-procurement system created as the result of a partnership between business, government and the civil society in Ukraine. The system is an open source solution that makes use of the open contracting data standard. It works under the principle ""everyone can see everything"". The monitoring tools developed enable analysis of public procurement, with information displayed about each tender, buyer and government authority. The system monitors risks of corruption in real time, using algorithms to flag high risk cases based on risk indicators. An automated risk-indicator engine scans all active electronic tenders for non-compliance and irregularities. Risky transactions are selected for further monitoring. 

",https://oecd-opsi.org/innovations/eprocurement-system-prozorro/,National,Ukraine,,Unknown,,,,,,,Data analytics,In development,Unknown
54,"ProZorro, Bid prediction",The ProZorro team is using artificial intelligence and machine learning in its work with the aim of developing a model that would predict the likelihood of a tender happening and being succesful. Another tool is able to predict the probability that a particular tender participant will leave the platform before completing the tender.,https://ocdsanalytics.com/ua/prozorro/ai/docs/,National,Ukraine,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
55,"ProZorro, Supplier profiling","Together with the uData School, Prozorro has developed a tool that clusters suppliers according to their history on the ProZorro platform. This analysis can reveal unobvious connections between them or with  public
companies, potential fraud and hidden trends",,National,Ukraine,,Unknown,,,,,,,Artificial Intelligence,Pilot,Unknown
56,"ProZorro, CPV Prediction","Prozorro has developed an AI tool that can predict the correct CPV codes and unit of measurement. The tool has not yet been implemented. It aims to make the platforms that provide the user-interface for organisations using the Prozorro data easier to use, reducing mis-classifications and errors;",https://ocdsanalytics.com/ua/prozorro/ai/docs/examples/,National,Ukraine,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
57,DoZorro AI tool,"The monitoring portal DoZorro is a platform where each participant in the system (supplier, customer, controlling authority, citizen) can provide feedback to the government customer or supplier. The new version of the platform provides software, which through its AI capabilities, is able to identify tenders with a high risk of corruption. The results of the beta test of this system were that 26% more tenders with unfounded selection of the winner were identified, 37% more tenders with groundless disqualification, and 298% more with participants’ conspiracy. The system is intended to complement and support the work done by experts - making their work more efficient.",https://ti-ukraine.org/en/news/dozorro-artificial-intelligence-to-find-violations-in-prozorro-how-it-works/,National,Ukraine,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
58,vTaiwan survey tool,"vTaiwan uses artificial intelligence to crowdsource opinions and draw consensus during deliberations. A tool called Pol.is is used to survey participants, and using AI capabilities a map is generated of the participants, clustering together people with similar opinions. This allows users to see where there is division and consensus among thousands of distinct comments. This application and approach has been applied to Taiwan's digital service procurement. In the past there was a rigid system, with every small design change needing to go through a tender.  A co-creation process with citizens has led to the creation of a much more agile and responsive with shortened procurement cycles. ",https://govinsider.asia/innovation/taiwan-pdis-shuyang-lin-audrey-tang/,National,Taiwan,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
59,Kommers (KAI) semantics check tool,An AI assistant is being integrated into the Primonas Kommers e-procurement platform. This tool can do a semantics check on requirements and other text in the procurement material which will decrease the risk of bidders misunderstanding the tender material and hence reduce the bidder risk. Kommers has public sector (as well as private sector) clients that will be able to access this functionality.,https://www.reusecompany.com/news/516-a-successful-swedish-procurement-conference-2019,National,Sweden,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
60,"Agency for Science, Technology and Research, AI tool","Agency for Science, Technology and Research has built an AI tool to identify and prevent possible corruption. The AI algorithms analyse HR and finance data, procurement requests, tender approvals and workflows to pick up patterns. It also looks at non-financial data, including details such as the names of government employees’ family members and vendor employees. ",https://govinsider.asia/security/exclusive-singapore-trialling-ai-to-predict-procurement-fraud/,National,Singapore,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
61,"ANAC, Machine learning tool, ",The tool uses machine learning to identify hidden relationships between public administrations and private companies using unstructured information (such as public procurement titles) from the open data on public procurement.,https://www.slideshare.net/FabianaLanotte/machine-learning-on-public-procurement-open-data-anac-case-study,National,Italy,,Unknown,,,,,,,Artificial Intelligence,In production,Unknown
62,State Treasury eInvoicing plans,"The State Treasury of Finland plans to automate eInvoice processing by utilising AI and robotics. It is believed that AI tools could analyse an invoice within seconds to find the necessary information such as an agreement number and amount. Currently, Finland has identified the most significant challenge to be that IT companies and other operators need to be aware of what data needs to be in the correct place to achieve ultimate automation goals.",https://ec.europa.eu/cefdigital/wiki/display/CEFDIGITAL/2018/06/13/Finland+is+using+AI+in+attempt+to+achieve+one-hundred+per+cent+eInvoicing,National,Finland,,Unknown,,,,,,,Artificial Intelligence,In development,Unknown
