#;ID;UCID;Name;Website;Description;Geographical extent;"Geographic coverage
Country";"Geographic coverage 
NUTS 2021";"Responsible
Organization";"Responsible 
Organization 
Category";"Functions of Government 
(COFOG level I)";"Functions of Government 
(COFOG level II)";Status;Start Year;End Year;2020 AI Classification (deprecated);Process Type;Application Type;Technology;CrossSector;CrossBorder;Uptake;Interaction;Use Type;Improved Public Service;Personalized Services;Public (citizen)-centered services;Increase quality of PSI and services;More responsive, efficient, and cost-effective public services;New services or channels;Improved Administration;Improved Administrative Efficiency;Cost-reduction;Responsiveness of government operation;Improved management of public resources;Increased quality of processes and systems;Better collaboration and better communication;Reduced or eliminate the risk of corruption and abuse of the law by public servants;Enabled greater fairness, honesty, equality;Open government capabilities;Increased transparency of public sector operations;Increased public participation in government actions and policy making;Improved public control and influence on government actions and policies;Source
11;40006;IPSO-40006;Stadjerspas smart vouchers;https://stadjerspas.nl/;Stadjerspas is a fully operable service which uses blockchain infrastructure to provide discounted services to low-income citizens of the Municipality of Groningen. Promotion of inclusivity in the city via a voucher system started in 1994. Up until 2013 vouchers were completely paper-based. In 2016 the voucher system in Groningen was moved to a blockchain, developed by DutchChain, a technology provider company. The core value-added of the blockchain-based system is the enhanced targeting of public money thanks to programmable money flows. Detailed spending conditions and eligibility criteria are programmed in the smart contract. Possible criteria include: detailed profiles of the beneficiaries and authorized providers, financial thresholds or usage limits. Smart vouchers can be used, for example, in sport clubs, cinemas or for subsidization of solar panels for home owners. From the municipality perspective Stadjerspas ensures that public money reserved for a specified purpose is spent exclusively on that purpose and targeted at a desired group of beneficiaries.;Local;Netherlands;NL;Municipality of Groningen;Local Government;Social protection;Social protection n.e.c.;Implemented;2016;;;Public services and engagement;Financial management and support ;Blockchain;Yes;No;Yes;G2C;Disintermediation and decentralised networks;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;Blockchain for digital government - An assessment of pioneering implementations in public services
12;50001;IPSO-50001;Blockchain pilot - Open Data notarization & change protocol;https://digitales.wien.gv.at/en/vienna-blockchain/;"In December 2017, the City of Vienna published a unique solution in Europe that secures public administration data with blockchain. Nearly 4,000 open data resources are already being notarized and are publishing clear identifiers on public blockchains. The solution will be extended to all open government data on data.gv.at and will be used throughout Austria. Notarization for data and documents will become a general service ""BLOCKSTEMPEL"" in cooperation with the Austrian Federal Computing Centre.";Local;Austria;AT;City of Vienna;Local Government;General public services;General services.;Implemented;2017;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;Yes;G2G;Data notarisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;;X;X;;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
13;50002;IPSO-50002;Blockchain pilot - Digital food voucher;https://bdlt.school/files/slides/talk-brigitte-lutz-blockchain-in-the-city-of-vienna-technology-of-an-innovative-administration.pdf;Employees of the City of Vienna (CoV) receive food tokens in their digital wallets instead of paper food vouche for each working day. These can be redeemed at contract locations that transfer the token to the CoV to receive the value. The idea of the proof of concept is to optimize the whole process.The Proof of Concept will be evaluated. In the following phases of the project the actual implementation and the broad roll-out could take place for about 20,000 City-Vienna employees;Local;Austria;AT;City of Vienna;Local Government;Social protection;Social protection n.e.c.;In development;2020;;;Public services and engagement;Financial management and support ;Blockchain;No;No;No;G2C;Process digitalisation;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
14;50003;IPSO-50003;Austrian Federal Government's Finance Agency, Oesterreichische Kontrollbank;https://www.coindesk.com/markets/2018/09/27/austrian-government-to-notarize-13-billion-bond-auction-using-ethereum/;The Austrian government is to use the ethereum blockchain to notarize the auction of a government bond worth ¨1.15 billion, or around $1.3 billion. The Federal Government Finance Agency (OeBFA) has assigned banking giant Oesterreichische Kontrollbank (OeKB) to carry out the auction on its behalf. The bank‚Äôs responsibilities will include deploying the notarisation service to authenticate auction transaction data and subsequently store it on the blockchain, the agency explained.‚ÄúBlockchain technology offers great potential for increasing efficiency and ensuring the quality of bank processes. Therefore, we have been dealing with this topic intensively for some time now and have already tested several prototypes. Starting the real operation on behalf of OeBFA is a pleasing and logical next step.‚Äù;National;Austria;AT;Finance Agency;Central-Government;Economic affairs;Executive and legislative organs, financial and fiscal affairs, external affairs.;In development;2018;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2G;Process digitalisation;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;X;;X;X;;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
15;50004;IPSO-50004;BeSure - Demonstrability Service;https://medium.com/@cryptovnet/besure-a-realistic-blockchain-case-for-the-belgian-government-c5b8c62dff38;An analysis and PoC have been made for a demonstrability service. It generates long-term proofs that a digital document has been sent and that it has been received, without relying on central parties. Strong security & privacy requirements were paramount. Offering strong evidence with legal value that certain actions happened or did not happen.;National;Belgium;BE;Smals Research;Central-Government;General public services;General services.;In development;2018;;;Enforcement;Certification and validation processes;Blockchain;No;No;Yes;G2C;Data notarisation;Improved Public Service;;;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
16;50005;IPSO-50005;FlowBikes;https://docplayer.nl/132223320-Flowbikes-in-production-today-first-blockchain-use-case.html;Rewarding children who go to school by foot/bike with tokens that are usable at the local fair or shops. Collaboration between local governement, school and Belfius Bank. Create a safer school environment. Guide children over the safest roads to school.;Local;Belgium;BE;Belfius Bank & Insurance;Local Government;Social protection;Family and children.;Implemented;2018;;;Public services and engagement;Financial management and support ;Blockchain;Yes;No;No;G2C;Reward systems;Improved Public Service;;X;X;X;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
17;50006;IPSO-50006;A digital talent profile for maximum development;https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp;The city of Antwerp is using the digital talent profile using blockchain to collect all the childrens talents and passions. Children can therefore make their own decisions as to who they would like to share which talents with and for how long. The digital talent profile will be implemented in a number of schools in Antwerp within the context of A'REA 2020. A'REA 2020's global ambition is for children to be able to progress onto a professional career, based on their talents and passions.;Local;Belgium;BE;Digipolis;Local Government;Education;Family and children.;Implemented;2018;;;Enforcement;Certification and validation processes;Blockchain;No;No;No;G2C;Self-sovereign digital identity;Improved Public Service;X;X;X;;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
18;50007;IPSO-50007;Privacy engine Antwerp City Platform as a Service;https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp;This ACPaaS Privacy engine uses blockchain technology. Its an innovative concept, whereby the engine functions as a gateway or middleware and subsequently protects all privacy-sensitive services and data.The Privacy engine ensures all privacy rules are respected and that applications satisfy the GDPR regulations. If a citizen grants his permission (i.e. consent), blockchain will guarantee the unaltered and irrefutable consent for the use of this data until the citizen withdraws his consent.;Local;Belgium;BE;Digipolis;Local Government;General public services;General services.;Implemented;2018;;;Enforcement;Certification and validation processes;Blockchain;No;No;Yes;G2C;Self-sovereign digital identity;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
19;50008;IPSO-50008;i-Voting;https://e-estonia.com/solutions/e-governance/i-voting;i-Voting is a unique solution that simply and conveniently helps to engage people in the governance process. In 2005, Estonia became the first country in the world to hold nation-wide elections using this method, and in 2007, it made headlines as the first country to use i-Voting in parliamentary elections. Internet voting, or i-Voting, is a system that allows voters to cast their ballots from any internet-connected computer anywhere in the world. Completely unrelated to the electronic voting systems used elsewhere, which involve costly and problematic machinery, the Estonian solution is simple, elegant and secure. During a designated pre-voting period, the voter logs onto the system using an ID-card or Mobile-ID, and casts a ballot. The voter‚Äôs identity is removed from the ballot before it reaches the National Electoral Commission for counting, thereby ensuring anonymity. With any method of remote voting, including traditional postal ballots, the possibility of votes being forced or bought is a concern. Estonia‚Äôs solution was to allow voters to log on and vote as many times as they want during the pre-voting period. Since each vote cancels the last, a voter always has the option of changing his or her vote later. In the case of i-Voting, the cumulative time saved in the last Estonian elections was 11,000 working days.;National;Estonia;EE;E-Estonia;Central-Government;General public services;Executive and legislative organs, financial and fiscal affairs, external affairs.;Implemented;2007;;;Public services and engagement;Governance and voting ;Blockchain;No;No;No;G2C;Governance and voting;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
20;50010;IPSO-50010;Health Records;https://e-estonia.com/solutions/healthcare/;The Electronic Health Record (e-Health Record) is a nationwide system integrating data from Estoniaís different healthcare providers to create a common record every patient can access online. Functioning very much like a centralized, national database, the e-Health Record actually retrieves data as necessary from various providers, who may be using different systems, and presents it in a standard format via the e-Patient portal. A powerful tool for doctors that allows them to access a patientís records easily from a single electronic file, doctors can read test results as they are entered, including image files such as X-rays even from remote hospitals. For assuring the integrity of retrieved electronic medical records as well as system access logs, the KSI blockchain technology is being used.;National;Estonia;EE;E-Estonia;Central-Government;Health;Public health services.;Implemented;2020;;;Public services and engagement;Data Sharing Management;Blockchain;No;No;Yes;G2C;Authentication;Improved Public Service;;X;X;X;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
21;50011;IPSO-50011;Blockchain-based Keyless Signature Infrastructure (KSI);https://e-estonia.com/solutions/security-and-safety/;KSI is a blockchain technology designed in Estonia and used globally to make sure networks, systems and data are free of compromise, all while retaining 100% data privacy. A blockchain is a distributed public ledger a database with a set of pre-defined rules for how the ledger is appended by the distributed consensus of the participants in the system. Due to its widely witnessed property, blockchain technology makes it also impossible to change the data already on the blockchain. With KSI Blockchain deployed in Estonian government networks, history cannot be rewritten by anybody and the authenticity of the electronic data can be mathematically proven. It means that no-one ‚Äì not hackers, not system administrators, and not even government itself ‚Äì can manipulate the data and get away with that.;National;Estonia;EE;E-Estonia;Central-Government;General public services;R&D general public services.;Implemented;2007;;;Enforcement;Certification and validation processes;Blockchain;No;No;Yes;G2C;Cybersecurity;Improved Public Service;;X;X;X;;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
22;50013;IPSO-50013;Blockchain as Digital Enabler for the European Federalism in the Asylum Context;http://www.bamf.de/DE/DasBAMF/BAMFdigital/Blockchain/blockchain-node.html;Together with the German Federal office for Migration and Refugees, the Fraunhofer FIT and technology partners aim to migrate the current German asylum process on a blockchain-based system. This would help the participating nations to reduce the duration and error-rate of the European asylum process. Blockchain allows for cross-organizational refugee management. We deploy the process logic of participating organizations on the blockchain to fasten up and raise the integrity of each asylum process in Europe. BLC thus affords the establishment of a federal, national-agnostic ecosystem for the EU.;National;Germany;DE;Federal office for Migration and Refugees;Central-Government;Social protection;Social protection n.e.c.;In development;2020;;;Public services and engagement;Supporting disintermediation ;Blockchain;No;Yes;No;G2G;Immigration;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;X;X;X;X;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
23;50015;IPSO-50015;Securing the Internet of Things;https://www.fnlondon.com/articles/isle-of-man-government-on-blockchain-iot-quest-20160808;The Isle of Man partnered with the startup Credits, a blockchain infrastructure provider, to secure IoT technology. The collaborative effort plans on using a distributed ledger to enhance new IoT applications and devices. Credits claims its services enable a broad range of scalable and interoperable applications. The idea behind [the experiment] is that internet of things has a promise of assigning a unique, non-forgeable identity to physical items and what the blockchain provides is the way of managing and maintaining an identity.;Regional;United Kingdom;UK;Isle of Man;Regional Government;General public services;General services.;In development;2016;;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;Yes;G2G;Tracking of goods, supply chain, iot;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;;;X;X;;X;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
24;50016;IPSO-50016;Digital Currency Business Register;https://www.ccn.com/isle-man-create-cryptocurrency-businesses-register/;The Isle of Man Government's Department of Economic Development will create a stand-alone register of Island-based digital currency businesses using the protocol of this local Blockchain service. The Department of Economic Development sought to take a small sub-set of company data ‚Äì namely the digital currency companies themselves ‚Äì and secure this using the Blockchain. This is a proof of concept initiative and is not intended to be an alternative for any formal register or directory that the Isle of Man‚Äôs Financial Supervision Commission may introduce in the future.;Regional;United Kingdom;UK;Isle of Man;Regional Government;Economic affairs;General services.;In development;2015;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2B;Process digitalisation;Improved Public Service;;;X;;X;FALSO;FALSO;;;;;;;;FALSO;;;;EU Blockchain Observatory and Forum - Initiatives Map
25;50017;IPSO-50017;Traceability of Italian food products;https://vigneviniequalita.edagricole.it/mercato/accordo-csqa-poligrafico-nuove-soluzioni-per-la-tracciabilita-dei-prodotti-agroalimentari-italiani/;CSQA Poligrafico agreement: new solutions for the traceability of Italian food products. A collaboration agreement has been signed between Poligrafico and Zecca of the Italian State and CSQA Certificazioni to carry out a project that strengthens the traceability of Italian PDO and PGI products and offers effective communication to consumers.The agreement is part of the framework of activities for the enhancement of quality supply chains, in order to make the professional skills and technological solutions necessary for the protection and promotion of the specialties of our country available to sector operators and citizens.;National;Italy;IT;Italian Istituto Poligrafico e Zecca dello Stato;Central-Government;Economic affairs;Transport;In development;2018;;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;No;G2C;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
26;50018;IPSO-50018;DOGANA 4.0: innovation in the Customs Management;https://www.logisticamanagement.it/it/articles/20180628/blockchain_alcuni_casi_duso_presentati_a_milano;"The Customs Agency is extensively investigating blockchain technology, as part of a process of improvement and continuous innovation that has seen the Customs switch to an "" eCustoms "" model (from paper to digital) and from this to an idea of Customs 4.0, powered by the most innovative technologies quai IoT, AI and blockchain. The concrete project presented concerns a drink of ancient tradition, the GenepÏ, a herbal liqueur typical of Piedmont: everything from its production to bottling is now replicated on blockchain (with a QR code as a vehicle for communication to the consumer ) while for the future the information chain is expected to be extended to the transport phase. The project was conducted in collaboration with the technological partner Sogei, with open source products and on Ethereum protocol.";National;Italy;IT;Agenzia delle Dogane;Central-Government;Economic affairs;Transport;In development;2018;;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;No;G2B;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
27;50019;IPSO-50019;Food fraud and falsification of Made in Italy;https://www.corrierecomunicazioni.it/digital-economy/blockchain-contro-le-frodi-alimentari-best-case-enology-in-un-tag-nfc-tutta-la-storia-di-una-bottiglia/;Food fraud and falsification of Made in Italy: a widespread system to which technology can put a valid barrier against food counterfeiting, which puts consumers at risk and makes producers lose millions of euros. The Blockchain comes to the aid. And it is from the wine sector that the Almaviva traceability platform against counterfeiting started for the Mipaaf, in collaboration with Agea and the national information system for the development of agriculture (Sin). The platform is the first worldwide example in use of public Blockchain , applied to the wine sector on ministerial data. The solution, in fact, unlike other products placed on the market, makes available information relating to Italian wines already present in the Public Administration servers, that is the data of the Sian, National Agricultural Information System, supplied by all the players in the supply chain.;National;Italy;IT;Ministry of Agricultural, Food and Forestry Policies;Central-Government;Economic affairs;Transport;Implemented;2018;;;Public services and engagement;Tracking of goods and assets along the supply chain ;Blockchain;No;No;No;G2B;Tracking of goods, supply chain, iot;Improved Public Service;;X;X;;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
28;50020;IPSO-50020;Decentralised Digital Identity Proof of Concept;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;The project team conducted research into the potential powerful combination of digital identity and Blockchain. Since (digital) identity is a broader and complex topic, the scope of the project was brought back to 4 user stories, one of them being age control while purchasing specific goods, such as cigarettes or alcohol. A particular advantage of Blockchain in relation to digital identity could be that it becomes easier to share specific information only in a specific context. Furthermore, each citizen would have control over which data he would share with whom (for obvious reasons, the exceptions can be made for governmental organisations). Going back to the age control, the owner of a shop only needs to know that the person in front of him is older than 18 years old, but currently (has to) ask for a document containing more data.;National;Netherlands;NL;Ministry of Interior Affairs;Central-Government;General public services;General services.;Not in use anymore;2016;;;Public services and engagement;Authentication of self-sovereign Digital ID services;Blockchain;No;No;Yes;G2C;Self-sovereign digital identity;Improved Public Service;;X;X;X;;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
29;50021;IPSO-50021;Execution of a judicial decision of juvenile court;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;In The Netherlands, minors can get a so-called HALT sentence for committing (minor) crimes. This sentence means that the minor has to do labour. When the work gets completed, the minor no longer has criminal record. The project team looked into the possibilities to use Blockchain for the registration of labour that has been completed. Blockchain would be an interesting technology for such a log, but important legal questions need to be resolved. For example, would it be legally allowed to store information on a Blockchain permanently if the point of getting a HALT sentence is that the minor can continue his life without a criminal record?;National;Netherlands;NL;Ministry of Justice;Central-Government;General public services;General services.;Not in use anymore;2016;;;Enforcement;Registration and data notarisation processes;Blockchain;No;No;No;G2C;Auditing and logging;Improved Public Service;;X;X;;X;Open Government Capabilities;FALSO;;;;;;;;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
30;50022;IPSO-50022;Toxic Waste Transport;https://media.wix.com/ugd/df1122_3de6de424d3b4f618af9e768e12d0ca0.pdf;"Transporting toxic waste from the Netherlands to another EU State in order for it to get disposed is a complex process that involves multiple stakeholders: the Human Environment and Transport Inspectorate (HETI), its foreign counterpart, the company that wants to dispose waste, a transport company and the company that will take care of the disposal. Currently, this is a paper-intensive process that requires all parties to have their own administration. During their Proof of Concept project, the HETI rethought the entire process. All notifications during this logistical process would go through different applications; approval for a transport could be automated based on a smart contract on the Blockchain.";National;Netherlands;NL;Human Environment and Transport Inspectorate;Central-Government;Environmental protection;General services.;Not in use anymore;2016;;;Internal management;Internal management processes;Blockchain;No;No;No;G2G;Tracking of goods, supply chain, iot;FALSO;;;;;;Improved Administration Efficency;Improved Administrative Efficiency;X;;X;X;X;;X;Open government capabilities;X;;;EU Blockchain Observatory and Forum - Initiatives Map
