Cyprus,,BE223,,Foreign military aid.,,,Multi-agent systems,"accountability;
safety;
explainability;
security;
fairness;
transparency;
privacy;",,Supporting inspection processes,,,Reduced or eliminate the risk of corruption and abuse of the law by public servants,,,
Czech Republic,,BE224,,R&D defence.,,,Robotics and Automation,"artificial general intelligence;
weak artificial intelligence;
strong artificial intelligence;
narrow artificial intelligence;",,Smart Recognition processes,,,"Enabled greater fairness, honesty, equality",,,
Denmark,,BE225,,Defence n.e.c.,,,Connected and Automated vehicles,,,Registration and data notarisation processes,,Open government capabilities,Increased transparency of public sector operations,,,
Estonia,,BE23,,Police Services,,,AI Services,,,Procurement management,,,Increased public participation in government actions and policy making,,,
European Union,,BE231,,Fire-protection services ,,,AI Ethics,,,Internal primary processes,,,Improved public control and influence on government actions and policies,,,
Finland,,BE232,,Law courts,,,Philosophy of AI,,Internal management,Internal support processes,,,,,,
France,,BE233,,Prisons.,,,Multiple AI techniques,,,Internal management processes,,,,,,
Georgia,,BE234,,R&D public order and safety.,,,,,,Financial management and support ,,,,,,
Germany,,BE235,,Public order and safety n.e.c.,,,,,,Data Sharing Management,,,,,,
Greece,,BE236,,"General economic, commercial and labour affair",,,,,,Governance and voting ,,,,,,
Hungary,,BE24,,"Agriculture, forestry, fishing and hunting",,,,,,Payments and international transactions ,,,,,,
Iceland,,BE241,,Fuel and energy,,,,,Public services and engagement,Supporting disintermediation ,,,,,,
Ireland,,BE242,,"Mining, manufacturing and construction.",,,,,,Engagement management,,,,,,
Italy,,BE25,,Transport,,,,,,Authentication of self-sovereign Digital ID services,,,,,,
Kazakhstan,,BE251,,Communication,,,,,,Service integration (various),,,,,,
Kosovo,,BE252,,Other industries,,,,,,Service personalisation (various),,,,,,
Latvia,,BE253,,R&D economic affairs,,,,,,Tracking of goods and assets along the supply chain ,,,,,,
Liechtenstein,,BE254,,Economic affairs n.e.c,,,,,,,,,,,,
Lithuania,,BE255,,Waste management.,,,,,,,,,,,,
Luxembourg,,BE256,,Waste water management.,,,,,,,,,,,,
Malta,,BE257,,Pollution abatement.,,,,,,,,,,,,
Moldova,,BE258,,Protection of biodiversity and landscape.,,,,,,,,,,,,
Monaco,,BE3,,R&D environmental protection.,,,,,,,,,,,,
Montenegro,,BE31,,Environmental protection n.e.c.,,,,,,,,,,,,
Netherlands,,BE310,,Housing development.,,,,,,,,,,,,
North Macedonia,,BE32,,Community development.,,,,,,,,,,,,
Norway,,BE323,,Water supply.,,,,,,,,,,,,
Poland,,BE328,,Street lighting.,,,,,,,,,,,,
Portugal,,BE329,,R&D housing and community amenities.,,,,,,,,,,,,
Romania,,BE32A,,Housing and community amenities n.e.c.,,,,,,,,,,,,
Russia,,BE32B,,"Medical products, appliances and equipment.",,,,,,,,,,,,
San Marino,,BE32C,,Outpatient services.,,,,,,,,,,,,
Serbia,,BE32D,,Hospital services.,,,,,,,,,,,,
Slovakia,,BE33,,Public health services.,,,,,,,,,,,,
Slovenia,,BE331,,R&D health.,,,,,,,,,,,,
Spain,,BE332,,Health n.e.c.,,,,,,,,,,,,
Sweden,,BE334,,Recreational and sporting services.,,,,,,,,,,,,
Switzerland,,BE335,,Cultural services.,,,,,,,,,,,,
Turkey,,BE336,,Broadcasting and publishing services.,,,,,,,,,,,,
Ukraine,,BE34,,Religious and other community services.,,,,,,,,,,,,
United Kingdom,,BE341,,"R&D recreation, culture and religion.",,,,,,,,,,,,
Vatican City,,BE342,,"Recreation, culture and religion n.e.c.",,,,,,,,,,,,
,,BE343,,Pre-primary and primary education.,,,,,,,,,,,,
,,BE344,,Secondary education.,,,,,,,,,,,,
,,BE345,,Post-secondary non-tertiary education.,,,,,,,,,,,,
,,BE35,,Tertiary education.,,,,,,,,,,,,
,,BE351,,Education not definable by level.,,,,,,,,,,,,
,,BE352,,Subsidiary services to education.,,,,,,,,,,,,
,,BE353,,R&D education.,,,,,,,,,,,,
,,BEZ,,Education n.e.c.,,,,,,,,,,,,
,,BEZZ,,Sickness and disability.,,,,,,,,,,,,
,,BEZZZ,,Old age.,,,,,,,,,,,,
,,BG,,Survivors.,,,,,,,,,,,,
,,BG3,,Family and children.,,,,,,,,,,,,
,,BG31,,Unemployment.,,,,,,,,,,,,
,,BG311,,Housing.,,,,,,,,,,,,
,,BG312,,Social exclusion n.e.c.,,,,,,,,,,,,
,,BG313,,R&D social protection.,,,,,,,,,,,,
,,BG314,,Social protection n.e.c.,,,,,,,,,,,,
,,BG315,,,,,,,,,,,,,,
,,BG32,,,,,,,,,,,,,,
,,BG321,,,,,,,,,,,,,,
,,BG322,,,,,,,,,,,,,,
,,BG323,,,,,,,,,,,,,,
,,BG324,,,,,,,,,,,,,,
,,BG325,,,,,,,,,,,,,,
,,BG33,,,,,,,,,,,,,,
,,BG331,,,,,,,,,,,,,,
,,BG332,,,,,,,,,,,,,,
,,BG333,,,,,,,,,,,,,,
,,BG334,,,,,,,,,,,,,,
,,BG34,,,,,,,,,,,,,,
,,BG341,,,,,,,,,,,,,,
,,BG342,,,,,,,,,,,,,,
,,BG343,,,,,,,,,,,,,,
,,BG344,,,,,,,,,,,,,,
,,BG4,,,,,,,,,,,,,,
,,BG41,,,,,,,,,,,,,,
,,BG411,,,,,,,,,,,,,,
,,BG412,,,,,,,,,,,,,,
,,BG413,,,,,,,,,,,,,,
,,BG414,,,,,,,,,,,,,,
,,BG415,,,,,,,,,,,,,,
,,BG42,,,,,,,,,,,,,,
,,BG421,,,,,,,,,,,,,,
,,BG422,,,,,,,,,,,,,,
,,BG423,,,,,,,,,,,,,,
,,BG424,,,,,,,,,,,,,,
,,BG425,,,,,,,,,,,,,,
,,BGZ,,,,,,,,,,,,,,
,,BGZZ,,,,,,,,,,,,,,
,,BGZZZ,,,,,,,,,,,,,,
,,CZ,,,,,,,,,,,,,,
,,CZ0,,,,,,,,,,,,,,
,,CZ01,,,,,,,,,,,,,,
,,CZ010,,,,,,,,,,,,,,
,,CZ02,,,,,,,,,,,,,,
,,CZ020,,,,,,,,,,,,,,
,,CZ03,,,,,,,,,,,,,,
,,CZ031,,,,,,,,,,,,,,
,,CZ032,,,,,,,,,,,,,,
,,CZ04,,,,,,,,,,,,,,
,,CZ041,,,,,,,,,,,,,,
,,CZ042,,,,,,,,,,,,,,
,,CZ05,,,,,,,,,,,,,,
,,CZ051,,,,,,,,,,,,,,
,,CZ052,,,,,,,,,,,,,,
,,CZ053,,,,,,,,,,,,,,
,,CZ06,,,,,,,,,,,,,,
,,CZ063,,,,,,,,,,,,,,
,,CZ064,,,,,,,,,,,,,,
,,CZ07,,,,,,,,,,,,,,
,,CZ071,,,,,,,,,,,,,,
,,CZ072,,,,,,,,,,,,,,
,,CZ08,,,,,,,,,,,,,,
,,CZ080,,,,,,,,,,,,,,
,,CZZ,,,,,,,,,,,,,,
,,CZZZ,,,,,,,,,,,,,,
,,CZZZZ,,,,,,,,,,,,,,
,,DK,,,,,,,,,,,,,,
,,DK0,,,,,,,,,,,,,,
,,DK01,,,,,,,,,,,,,,
,,DK011,,,,,,,,,,,,,,
,,DK012,,,,,,,,,,,,,,
,,DK013,,,,,,,,,,,,,,
,,DK014,,,,,,,,,,,,,,
,,DK02,,,,,,,,,,,,,,
,,DK021,,,,,,,,,,,,,,
,,DK022,,,,,,,,,,,,,,
,,DK03,,,,,,,,,,,,,,
,,DK031,,,,,,,,,,,,,,
,,DK032,,,,,,,,,,,,,,
,,DK04,,,,,,,,,,,,,,
,,DK041,,,,,,,,,,,,,,
,,DK042,,,,,,,,,,,,,,
,,DK05,,,,,,,,,,,,,,
,,DK050,,,,,,,,,,,,,,
,,DKZ,,,,,,,,,,,,,,
,,DKZZ,,,,,,,,,,,,,,
,,DKZZZ,,,,,,,,,,,,,,
,,DE,,,,,,,,,,,,,,
,,DE1,,,,,,,,,,,,,,
,,DE11,,,,,,,,,,,,,,
,,DE111,,,,,,,,,,,,,,
,,DE112,,,,,,,,,,,,,,
,,DE113,,,,,,,,,,,,,,
,,DE114,,,,,,,,,,,,,,
,,DE115,,,,,,,,,,,,,,
,,DE116,,,,,,,,,,,,,,
,,DE117,,,,,,,,,,,,,,
,,DE118,,,,,,,,,,,,,,
,,DE119,,,,,,,,,,,,,,
,,DE11A,,,,,,,,,,,,,,
,,DE11B,,,,,,,,,,,,,,
,,DE11C,,,,,,,,,,,,,,
,,DE11D,,,,,,,,,,,,,,
,,DE12,,,,,,,,,,,,,,
,,DE121,,,,,,,,,,,,,,
,,DE122,,,,,,,,,,,,,,
,,DE123,,,,,,,,,,,,,,
,,DE124,,,,,,,,,,,,,,
,,DE125,,,,,,,,,,,,,,
,,DE126,,,,,,,,,,,,,,
,,DE127,,,,,,,,,,,,,,
,,DE128,,,,,,,,,,,,,,
,,DE129,,,,,,,,,,,,,,
,,DE12A,,,,,,,,,,,,,,
,,DE12B,,,,,,,,,,,,,,
,,DE12C,,,,,,,,,,,,,,
,,DE13,,,,,,,,,,,,,,
,,DE131,,,,,,,,,,,,,,
,,DE132,,,,,,,,,,,,,,
,,DE133,,,,,,,,,,,,,,
,,DE134,,,,,,,,,,,,,,
,,DE135,,,,,,,,,,,,,,
,,DE136,,,,,,,,,,,,,,
,,DE137,,,,,,,,,,,,,,
,,DE138,,,,,,,,,,,,,,
,,DE139,,,,,,,,,,,,,,
,,DE13A,,,,,,,,,,,,,,
,,DE14,,,,,,,,,,,,,,
,,DE141,,,,,,,,,,,,,,
,,DE142,,,,,,,,,,,,,,
,,DE143,,,,,,,,,,,,,,
,,DE144,,,,,,,,,,,,,,
,,DE145,,,,,,,,,,,,,,
,,DE146,,,,,,,,,,,,,,
,,DE147,,,,,,,,,,,,,,
,,DE148,,,,,,,,,,,,,,
,,DE149,,,,,,,,,,,,,,
,,DE2,,,,,,,,,,,,,,
,,DE21,,,,,,,,,,,,,,
,,DE211,,,,,,,,,,,,,,
,,DE212,,,,,,,,,,,,,,
,,DE213,,,,,,,,,,,,,,
,,DE214,,,,,,,,,,,,,,
,,DE215,,,,,,,,,,,,,,
,,DE216,,,,,,,,,,,,,,
,,DE217,,,,,,,,,,,,,,
,,DE218,,,,,,,,,,,,,,
,,DE219,,,,,,,,,,,,,,
,,DE21A,,,,,,,,,,,,,,
,,DE21B,,,,,,,,,,,,,,
,,DE21C,,,,,,,,,,,,,,
,,DE21D,,,,,,,,,,,,,,
,,DE21E,,,,,,,,,,,,,,
,,DE21F,,,,,,,,,,,,,,
,,DE21G,,,,,,,,,,,,,,
,,DE21H,,,,,,,,,,,,,,
,,DE21I,,,,,,,,,,,,,,
,,DE21J,,,,,,,,,,,,,,
,,DE21K,,,,,,,,,,,,,,
,,DE21L,,,,,,,,,,,,,,
,,DE21M,,,,,,,,,,,,,,
,,DE21N,,,,,,,,,,,,,,
,,DE22,,,,,,,,,,,,,,
,,DE221,,,,,,,,,,,,,,
,,DE222,,,,,,,,,,,,,,
,,DE223,,,,,,,,,,,,,,
,,DE224,,,,,,,,,,,,,,
,,DE225,,,,,,,,,,,,,,
,,DE226,,,,,,,,,,,,,,
,,DE227,,,,,,,,,,,,,,
,,DE228,,,,,,,,,,,,,,
,,DE229,,,,,,,,,,,,,,
,,DE22A,,,,,,,,,,,,,,
,,DE22B,,,,,,,,,,,,,,
,,DE22C,,,,,,,,,,,,,,
,,DE23,,,,,,,,,,,,,,
,,DE231,,,,,,,,,,,,,,
,,DE232,,,,,,,,,,,,,,
,,DE233,,,,,,,,,,,,,,
,,DE234,,,,,,,,,,,,,,
,,DE235,,,,,,,,,,,,,,
,,DE236,,,,,,,,,,,,,,
,,DE237,,,,,,,,,,,,,,
,,DE238,,,,,,,,,,,,,,
,,DE239,,,,,,,,,,,,,,
,,DE23A,,,,,,,,,,,,,,
,,DE24,,,,,,,,,,,,,,
,,DE241,,,,,,,,,,,,,,
,,DE242,,,,,,,,,,,,,,
,,DE243,,,,,,,,,,,,,,
,,DE244,,,,,,,,,,,,,,
,,DE245,,,,,,,,,,,,,,
,,DE246,,,,,,,,,,,,,,
,,DE247,,,,,,,,,,,,,,
,,DE248,,,,,,,,,,,,,,
,,DE249,,,,,,,,,,,,,,
,,DE24A,,,,,,,,,,,,,,
,,DE24B,,,,,,,,,,,,,,
,,DE24C,,,,,,,,,,,,,,
,,DE24D,,,,,,,,,,,,,,
,,DE25,,,,,,,,,,,,,,
,,DE251,,,,,,,,,,,,,,
,,DE252,,,,,,,,,,,,,,
,,DE253,,,,,,,,,,,,,,
,,DE254,,,,,,,,,,,,,,
,,DE255,,,,,,,,,,,,,,
,,DE256,,,,,,,,,,,,,,
,,DE257,,,,,,,,,,,,,,
,,DE258,,,,,,,,,,,,,,
,,DE259,,,,,,,,,,,,,,
,,DE25A,,,,,,,,,,,,,,
,,DE25B,,,,,,,,,,,,,,
,,DE25C,,,,,,,,,,,,,,
,,DE26,,,,,,,,,,,,,,
,,DE261,,,,,,,,,,,,,,
,,DE262,,,,,,,,,,,,,,
,,DE263,,,,,,,,,,,,,,
,,DE264,,,,,,,,,,,,,,
,,DE265,,,,,,,,,,,,,,
,,DE266,,,,,,,,,,,,,,
,,DE267,,,,,,,,,,,,,,
,,DE268,,,,,,,,,,,,,,
,,DE269,,,,,,,,,,,,,,
,,DE26A,,,,,,,,,,,,,,
,,DE26B,,,,,,,,,,,,,,
,,DE26C,,,,,,,,,,,,,,
,,DE27,,,,,,,,,,,,,,
,,DE271,,,,,,,,,,,,,,
,,DE272,,,,,,,,,,,,,,
,,DE273,,,,,,,,,,,,,,
,,DE274,,,,,,,,,,,,,,
,,DE275,,,,,,,,,,,,,,
,,DE276,,,,,,,,,,,,,,
,,DE277,,,,,,,,,,,,,,
,,DE278,,,,,,,,,,,,,,
,,DE279,,,,,,,,,,,,,,
,,DE27A,,,,,,,,,,,,,,
,,DE27B,,,,,,,,,,,,,,
,,DE27C,,,,,,,,,,,,,,
,,DE27D,,,,,,,,,,,,,,
,,DE27E,,,,,,,,,,,,,,
,,DE3,,,,,,,,,,,,,,
,,DE30,,,,,,,,,,,,,,
,,DE300,,,,,,,,,,,,,,
,,DE4,,,,,,,,,,,,,,
,,DE40,,,,,,,,,,,,,,
,,DE401,,,,,,,,,,,,,,
,,DE402,,,,,,,,,,,,,,
,,DE403,,,,,,,,,,,,,,
,,DE404,,,,,,,,,,,,,,
,,DE405,,,,,,,,,,,,,,
,,DE406,,,,,,,,,,,,,,
,,DE407,,,,,,,,,,,,,,
,,DE408,,,,,,,,,,,,,,
,,DE409,,,,,,,,,,,,,,
,,DE40A,,,,,,,,,,,,,,
,,DE40B,,,,,,,,,,,,,,
,,DE40C,,,,,,,,,,,,,,
,,DE40D,,,,,,,,,,,,,,
,,DE40E,,,,,,,,,,,,,,
,,DE40F,,,,,,,,,,,,,,
,,DE40G,,,,,,,,,,,,,,
,,DE40H,,,,,,,,,,,,,,
,,DE40I,,,,,,,,,,,,,,
,,DE5,,,,,,,,,,,,,,
,,DE50,,,,,,,,,,,,,,
,,DE501,,,,,,,,,,,,,,
,,DE502,,,,,,,,,,,,,,
,,DE6,,,,,,,,,,,,,,
,,DE60,,,,,,,,,,,,,,
,,DE600,,,,,,,,,,,,,,
,,DE7,,,,,,,,,,,,,,
,,DE71,,,,,,,,,,,,,,
,,DE711,,,,,,,,,,,,,,
,,DE712,,,,,,,,,,,,,,
,,DE713,,,,,,,,,,,,,,
,,DE714,,,,,,,,,,,,,,
,,DE715,,,,,,,,,,,,,,
,,DE716,,,,,,,,,,,,,,
,,DE717,,,,,,,,,,,,,,
,,DE718,,,,,,,,,,,,,,
,,DE719,,,,,,,,,,,,,,
,,DE71A,,,,,,,,,,,,,,
,,DE71B,,,,,,,,,,,,,,
,,DE71C,,,,,,,,,,,,,,
,,DE71D,,,,,,,,,,,,,,
,,DE71E,,,,,,,,,,,,,,
,,DE72,,,,,,,,,,,,,,
,,DE721,,,,,,,,,,,,,,
,,DE722,,,,,,,,,,,,,,
,,DE723,,,,,,,,,,,,,,
,,DE724,,,,,,,,,,,,,,
,,DE725,,,,,,,,,,,,,,
,,DE73,,,,,,,,,,,,,,
,,DE731,,,,,,,,,,,,,,
,,DE732,,,,,,,,,,,,,,
,,DE733,,,,,,,,,,,,,,
,,DE734,,,,,,,,,,,,,,
,,DE735,,,,,,,,,,,,,,
,,DE736,,,,,,,,,,,,,,
,,DE737,,,,,,,,,,,,,,
,,DE8,,,,,,,,,,,,,,
,,DE80,,,,,,,,,,,,,,
,,DE803,,,,,,,,,,,,,,
,,DE804,,,,,,,,,,,,,,
,,DE80J,,,,,,,,,,,,,,
,,DE80K,,,,,,,,,,,,,,
,,DE80L,,,,,,,,,,,,,,
,,DE80M,,,,,,,,,,,,,,
,,DE80N,,,,,,,,,,,,,,
,,DE80O,,,,,,,,,,,,,,
,,DE9,,,,,,,,,,,,,,
,,DE91,,,,,,,,,,,,,,
,,DE911,,,,,,,,,,,,,,
,,DE912,,,,,,,,,,,,,,
,,DE913,,,,,,,,,,,,,,
,,DE914,,,,,,,,,,,,,,
,,DE916,,,,,,,,,,,,,,
,,DE917,,,,,,,,,,,,,,
,,DE918,,,,,,,,,,,,,,
,,DE91A,,,,,,,,,,,,,,
,,DE91B,,,,,,,,,,,,,,
,,DE91C,,,,,,,,,,,,,,
,,DE92,,,,,,,,,,,,,,
,,DE922,,,,,,,,,,,,,,
,,DE923,,,,,,,,,,,,,,
,,DE925,,,,,,,,,,,,,,
,,DE926,,,,,,,,,,,,,,
,,DE927,,,,,,,,,,,,,,
,,DE928,,,,,,,,,,,,,,
,,DE929,,,,,,,,,,,,,,
,,DE93,,,,,,,,,,,,,,
,,DE931,,,,,,,,,,,,,,
,,DE932,,,,,,,,,,,,,,
,,DE933,,,,,,,,,,,,,,
,,DE934,,,,,,,,,,,,,,
,,DE935,,,,,,,,,,,,,,
,,DE936,,,,,,,,,,,,,,
,,DE937,,,,,,,,,,,,,,
,,DE938,,,,,,,,,,,,,,
,,DE939,,,,,,,,,,,,,,
,,DE93A,,,,,,,,,,,,,,
,,DE93B,,,,,,,,,,,,,,
,,DE94,,,,,,,,,,,,,,
,,DE941,,,,,,,,,,,,,,
,,DE942,,,,,,,,,,,,,,
,,DE943,,,,,,,,,,,,,,
,,DE944,,,,,,,,,,,,,,
,,DE945,,,,,,,,,,,,,,
,,DE946,,,,,,,,,,,,,,
,,DE947,,,,,,,,,,,,,,
,,DE948,,,,,,,,,,,,,,
,,DE949,,,,,,,,,,,,,,
,,DE94A,,,,,,,,,,,,,,
,,DE94B,,,,,,,,,,,,,,
,,DE94C,,,,,,,,,,,,,,
,,DE94D,,,,,,,,,,,,,,
,,DE94E,,,,,,,,,,,,,,
,,DE94F,,,,,,,,,,,,,,
,,DE94G,,,,,,,,,,,,,,
,,DE94H,,,,,,,,,,,,,,
,,DEA,,,,,,,,,,,,,,
,,DEA1,,,,,,,,,,,,,,
,,DEA11,,,,,,,,,,,,,,
,,DEA12,,,,,,,,,,,,,,
,,DEA13,,,,,,,,,,,,,,
,,DEA14,,,,,,,,,,,,,,
,,DEA15,,,,,,,,,,,,,,
,,DEA16,,,,,,,,,,,,,,
,,DEA17,,,,,,,,,,,,,,
,,DEA18,,,,,,,,,,,,,,
,,DEA19,,,,,,,,,,,,,,
,,DEA1A,,,,,,,,,,,,,,
,,DEA1B,,,,,,,,,,,,,,
,,DEA1C,,,,,,,,,,,,,,
,,DEA1D,,,,,,,,,,,,,,
,,DEA1E,,,,,,,,,,,,,,
,,DEA1F,,,,,,,,,,,,,,
,,DEA2,,,,,,,,,,,,,,
,,DEA22,,,,,,,,,,,,,,
,,DEA23,,,,,,,,,,,,,,
,,DEA24,,,,,,,,,,,,,,
,,DEA26,,,,,,,,,,,,,,
,,DEA27,,,,,,,,,,,,,,
,,DEA28,,,,,,,,,,,,,,
,,DEA29,,,,,,,,,,,,,,
,,DEA2A,,,,,,,,,,,,,,
,,DEA2B,,,,,,,,,,,,,,
,,DEA2C,,,,,,,,,,,,,,
,,DEA2D,,,,,,,,,,,,,,
,,DEA3,,,,,,,,,,,,,,
,,DEA31,,,,,,,,,,,,,,
,,DEA32,,,,,,,,,,,,,,
,,DEA33,,,,,,,,,,,,,,
,,DEA34,,,,,,,,,,,,,,
,,DEA35,,,,,,,,,,,,,,
,,DEA36,,,,,,,,,,,,,,
,,DEA37,,,,,,,,,,,,,,
,,DEA38,,,,,,,,,,,,,,
,,DEA4,,,,,,,,,,,,,,
,,DEA41,,,,,,,,,,,,,,
,,DEA42,,,,,,,,,,,,,,
,,DEA43,,,,,,,,,,,,,,
,,DEA44,,,,,,,,,,,,,,
,,DEA45,,,,,,,,,,,,,,
,,DEA46,,,,,,,,,,,,,,
,,DEA47,,,,,,,,,,,,,,
,,DEA5,,,,,,,,,,,,,,
,,DEA51,,,,,,,,,,,,,,
,,DEA52,,,,,,,,,,,,,,
,,DEA53,,,,,,,,,,,,,,
,,DEA54,,,,,,,,,,,,,,
,,DEA55,,,,,,,,,,,,,,
,,DEA56,,,,,,,,,,,,,,
,,DEA57,,,,,,,,,,,,,,
,,DEA58,,,,,,,,,,,,,,
,,DEA59,,,,,,,,,,,,,,
,,DEA5A,,,,,,,,,,,,,,
,,DEA5B,,,,,,,,,,,,,,
,,DEA5C,,,,,,,,,,,,,,
,,DEB,,,,,,,,,,,,,,
,,DEB1,,,,,,,,,,,,,,
,,DEB11,,,,,,,,,,,,,,
,,DEB12,,,,,,,,,,,,,,
,,DEB13,,,,,,,,,,,,,,
,,DEB14,,,,,,,,,,,,,,
,,DEB15,,,,,,,,,,,,,,
,,DEB17,,,,,,,,,,,,,,
,,DEB18,,,,,,,,,,,,,,
,,DEB1A,,,,,,,,,,,,,,
,,DEB1B,,,,,,,,,,,,,,
,,DEB1C,,,,,,,,,,,,,,
,,DEB1D,,,,,,,,,,,,,,
,,DEB2,,,,,,,,,,,,,,
,,DEB21,,,,,,,,,,,,,,
,,DEB22,,,,,,,,,,,,,,
,,DEB23,,,,,,,,,,,,,,
,,DEB24,,,,,,,,,,,,,,
,,DEB25,,,,,,,,,,,,,,
,,DEB3,,,,,,,,,,,,,,
,,DEB31,,,,,,,,,,,,,,
,,DEB32,,,,,,,,,,,,,,
,,DEB33,,,,,,,,,,,,,,
,,DEB34,,,,,,,,,,,,,,
,,DEB35,,,,,,,,,,,,,,
,,DEB36,,,,,,,,,,,,,,
,,DEB37,,,,,,,,,,,,,,
,,DEB38,,,,,,,,,,,,,,
,,DEB39,,,,,,,,,,,,,,
,,DEB3A,,,,,,,,,,,,,,
,,DEB3B,,,,,,,,,,,,,,
,,DEB3C,,,,,,,,,,,,,,
,,DEB3D,,,,,,,,,,,,,,
,,DEB3E,,,,,,,,,,,,,,
,,DEB3F,,,,,,,,,,,,,,
,,DEB3G,,,,,,,,,,,,,,
,,DEB3H,,,,,,,,,,,,,,
,,DEB3I,,,,,,,,,,,,,,
,,DEB3J,,,,,,,,,,,,,,
,,DEB3K,,,,,,,,,,,,,,
,,DEC,,,,,,,,,,,,,,
,,DEC00,,,,,,,,,,,,,,
,,DEC01,,,,,,,,,,,,,,
,,DEC02,,,,,,,,,,,,,,
,,DEC03,,,,,,,,,,,,,,
,,DEC04,,,,,,,,,,,,,,
,,DEC05,,,,,,,,,,,,,,
,,DEC06,,,,,,,,,,,,,,
,,DED,,,,,,,,,,,,,,
,,DED2,,,,,,,,,,,,,,
,,DED21,,,,,,,,,,,,,,
,,DED2C,,,,,,,,,,,,,,
,,DED2D,,,,,,,,,,,,,,
,,DED2E,,,,,,,,,,,,,,
,,DED2F,,,,,,,,,,,,,,
,,DED4,,,,,,,,,,,,,,
,,DED41,,,,,,,,,,,,,,
,,DED42,,,,,,,,,,,,,,
