Column,Type,Values,Publishing,Primary key,Mandatory,Note,Link to the classification,,,,,,,,,,,
Predictive enforcement  processes,Predictive enforcement processes involves algorithms to analyze amounts of information in order to predict and help prevent potential future crimes/mistake/mislead,,,,,,,,,,,,,,,,,
Other Process digitalisation ,This activity type cover all the other activities internal to public administration digitally transformed,,,,,,,,,,,,,,,,,
Procurement management,"Public procurement refers to the adjudication process related with purchase by governments and state-owned enterprises of goods, services and works",,,,,,,,,,,,,,,,,
Public Policy Innovation,processes to support public policy innovation,,,,,,,,,,,,,,,,,
Digital Recognition processes,"Digital recognition processes are processes that can identify objects, people, places, writing, situations and actions in images, video, audio and other basic or complex physical measurment",,,,,,,,,,,,,,,,,
Registration and data notarisation processes,System to support legal registration of information or data,,,,,,,,,,,,,,,,,
Authentication of self-sovereign Digital ID services,"System that enabling the customer authentication through some kind of Digital ID, maybe in a decentralized way",,,,,,,,,,,,,,,,,
Service integration (various),"Integration of services is about the adaptation of different digital services (even from multiple providers) to create another delivery channel of  these services (part of, or differently structured) to citizen and businesses",,,,,,,,,,,,,,,,,
Service personalisation (various),Personalized service delivers a customized service considering the needs and wants (collected somehow) of the customer (citizen/businesses/civil servant),,,,,,,,,,,,,,,,,
Tracking of goods and assets along the supply chain ,"Provide better handoff of goods: Tracking technology allows you to definitively understand exactly where goods are at any particular time, so that transfers between supply chain partners are accurate and up-to-date",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Source:,Governmental Process/Task (Ergstroem),,,,,,,,,,,,,,,,,
Semantic check question:,what process does the technology support?,,,,,,,,,,,,,,,,,
Process Type,,,,,,,,,,,,,,,,,,
Value,Definition,,,,,,,,,,,,,,,,,
Enforcement,Tasks that identify or prioritize targets of agency enforcement actions,,,,,,,,,,,,,,,,,
Adjudication,Tasks that support formal or informal agency adjudication of benefits or rights,,,,,,,,,,,,,,,,,
"Analysis, monitoring and regulatory research ",Tasks that collect or analyze information that shapes agency policymaking,,,,,,,,,,,,,,,,,
Internal management,"Tasks that support agency management of resources, including employee management, procurement, and maintenance of technology systems",,,,,,,,,,,,,,,,,
"Public services and 
engagement",Tasks that support the direct provision of services to the public or facilitate communication with the public for regulatory or other purposes,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
