entry_type,cid,id,rtype,name,url,contact,description,geoextent,geocoverage,geocoverage_codes,lead_organisation_name,lead_organisation_category,start_date,active,end_date,primary_sector,secondary_sector,technology,uptake,cross_border,cross_sector,type,status,lead_organisation:name,lead_organisation:category
case,10002,20008,Service,"Mes aides",http://mes-aides.gouv.fr/,,"Thanks to Mes aides, the user can in a few clicks discover all the help to which they are entitled by describing their situation once. The OpenFisca simulator takes into account all tax and social legislation and therefore makes it possible to respond precisely to the question ""what aid am I entitled to?"" """,National,France,FR,DINSIC,Governmental,2016,Yes,,Communication,"Financial support",Api,Unknown,No,No,"Process digitisation","In production",DINSIC,Governmental
case,10002,20009,Service,MPS,https://mps.apientreprise.fr/,,"By adopting MPS, the Secure Markets dematerialization platform allows companies to apply for a public contract without filling out a complex form or providing supporting documents. Companies enter their SIRET number, validate their consent for the public buyer to access social or tax certificates, and simply submit their offer.",National,France,FR,DINSIC,Governmental,2016,No,,"Executive and legislative organs, financial and fiscal affairs, external affairs",Procurement,Api,Unknown,No,No,"Process digitisation",Withdrawn,DINSIC,Governmental
case,10002,20010,Service,"Déchets malins",http://dechets.rennesmetropole.fr/,,"This site includes a sorting guide which is constantly updated. National first: a function allows, by entering its address, to know the schedules of theoretical passage of skips to within 2 hours.",Local,France,FR,"Rennes, Ville et Metropole",Governmental,2016,Yes,,"Waste management",Information,Api,Unknown,No,No,"Process digitisation","In production","Rennes, Ville et Metropole",Governmental
case,10002,20011,Service,RenCircul,http://circulation.rennesmetropole.fr/,,"Updated daily to take into account the impact of construction sites on the territory of the city and the agglomeration of Rennes, RenCircul and the site circulation.rennesmetropole.fr offer information on the works and on the changes in traffic conditions that they generate.",Local,France,FR,"Rennes, Ville et Metropole",Governmental,2015,Yes,,Transport,Information,Api,Unknown,No,No,"Process digitisation","In production","Rennes, Ville et Metropole",Governmental
case,10002,20012,Service,"Simulateur d'embauche",http://embauche.beta.gouv.fr/,,"A web module for simulating the cost of hiring and the net salary, which can be easily integrated into a web page.",National,France,FR,DINSIC,Governmental,2016,Yes,,"Financial and fiscal affairs",Information,Api,Unknown,No,No,"Process digitisation","In production",DINSIC,Governmental
case,10002,20013,Service,Télépoints,https://permisdeconduire.ants.gouv.fr/Vos-demarches/Le-permis-a-points/Solde-de-vos-points-Via-France-Connect,,"Thanks to FranceConnect, you can immediately consult your point balance on the ANTS portal.",National,France,FR,DINSIC,Governmental,2016,Yes,,Transport,Information,Api,Unknown,No,No,"Process digitisation","In production",DINSIC,Governmental
case,10003,30001,Service,pagoPA,https://www.pagopa.gov.it/,,"pagoPA is an electronic payment system designed to make any payment to the Public Administration simpler, safer and more transparent.",National,Italy,IT,"Agenzia per l'Italia Digitale",Governmental,2018,Yes,,"Financial and fiscal affairs",Taxation,Api,Considerable,No,Yes,"Payments and international transactions","In production","Agenzia per l'Italia Digitale",Governmental
case,10003,30002,Service,"IO App",https://developers.italia.it/it/io/,,"IO is the application of the Italian government that will allow all citizens to use national and local public services from their smartphone in a simple, modern and safe way. It is an Open Source project that will grow day by day, involving different entities and services.",National,Italy,IT,"Agenzia per l'Italia Digitale",Governmental,2018,Yes,,"General public services","Service integration",Api,Unknown,No,Yes,"Process digitisation",Pilot,"Agenzia per l'Italia Digitale",Governmental
case,10003,30003,Service,"18app e Carta Docente",https://www.18app.italia.it/,,"18app and Teacher Card are two programs provided by law with which an economic bonus (€ 500) is assigned to certain categories of people (respectively, all 18-year-olds and tenured teachers) to be spent with specific constraints (in culture and training) at accredited exhibitors.",National,Italy,IT,"Ministero dei Beni e delle Attività Culturali e del Turismo",Governmental,2017,Yes,,Education,"Financial support",Api,Considerable,No,Yes,"Process digitisation","In production","Ministero dei Beni e delle Attività Culturali e del Turismo",Governmental
case,10003,30004,Service,ANPR,https://www.anpr.interno.it/portale/,,"A single central registry, also reachable via API, which keeps information updated on residence, family status, and much more.",National,Italy,IT,"Ministero dell'Interno",Governmental,2017,Yes,,"General public services","Service integration",Api,Small,No,Yes,"Process digitisation","In production","Ministero dell'Interno",Governmental
case,10003,30005,Service,"Data & Analytics Framework (DAF)",https://teamdigitale.governo.it/en/projects/daf.htm,,"The Data & Analytics Framework (DAF) has the goal of improving and simplifying the interoperability and exchange of data between Public Administrations, promoting and improving the management and usage of Open Data, optimizing activities of analysis and knowledge generation.",National,Italy,IT,"Agenzia per l'Italia Digitale",Governmental,2017,Yes,,"General public services",Information,"Data analytics",Unknown,No,Yes,"Process digitisation",Pilot,"Agenzia per l'Italia Digitale",Governmental
case,10003,30006,Service,dati.gov.it,https://www.dati.gov.it/,,"Dati.gov.it is the national catalog of open data of Italian public administrations. It was created with the aim of aggregating in a single portal most of the open data exposed by the various local and national administrations.",National,Italy,IT,"Agenzia per l'Italia Digitale",Governmental,2011,Yes,,"General public services","Data access",Api,Unknown,No,Yes,"Process digitisation","In production","Agenzia per l'Italia Digitale",Governmental
case,10003,30007,Service,"Docs Italia",https://docs.italia.it/,,"Docs Italia is the tool for publishing technical and legal documents, offering to citizens the ability to read and comment easily. In addition to the readTheDocs API, DocsItalia exhibits a REST interface for querying documents.",National,Italy,IT,"Agenzia per l'Italia Digitale",Governmental,2017,Yes,,"General public services",Information,Api,Unknown,No,Yes,"Process digitisation","In production","Agenzia per l'Italia Digitale",Governmental
case,10003,30008,Service,"Fatturazione Elettronica",https://www.fatturapa.gov.it/export/fatturazione/,,"An XML format to describe an invoice: find out how to integrate it into your management software.",National,Italy,IT,"Agenzia delle Entrate",Governmental,2018,Yes,,"Financial and fiscal affairs",Taxation,Api,"Very large",No,No,"Payments and international transactions","In production","Agenzia delle Entrate",Governmental
case,10003,30009,Service,"OTELLO 2.0",https://www.adm.gov.it/portale/o.t.e.l.l.o.-2.0,,"OTELLO is the platform of the Customs and Monopolies Agency which manages the process that allows non-EU subjects to obtain direct relief or VAT refund on goods purchased on Italian territory.",National,Italy,IT,"Agenzia delle Dogane e dei Monopoli",Governmental,2015,Yes,,"Financial and fiscal affairs","Financial support",Api,Large,No,No,"Process digitisation","In production","Agenzia delle Dogane e dei Monopoli",Governmental
case,10003,30010,Service,SPID,https://www.spid.gov.it/,,"SPID (Public Digital Identity System) is the solution that allows Italian citizens to access all online services of the Public Administration with a single Digital Identity that can be used on computers, tablets and smartphones. Citizens can obtain SPID through Identity Managers (called Identity Providers); once the verification procedure is completed, which certifies the identity of the applicant, credentials are released that allow access to the Service Providers (called Service Providers).",National,Italy,IT,"Agenzia per l'Italia Digitale",Governmental,2016,Yes,,"General public services","Service integration",Api,Considerable,Yes,Yes,"Digital identity","In production","Agenzia per l'Italia Digitale",Governmental
case,10004,40001,Service,"Blockcerts academic credentials",https://newsbook.com.mt/en/malta-first-to-introduce-blockcerts-for-academic-credentials/,,"In October 2017, the Maltese government has launched a project that develops academic credentials verification using blockchain technology. The Ministry for Education and Employment (MEDE) of Malta decided to use the Blockcerts open standard for management of academic records. Blockcerts provides all aspects of the value chain: creation, issuing, viewing, and verification of the certificates, and uses blockchain technology as the infrastructure. The pilot was initiated to create a verifiable proof of education for citizens.",National,Malta,MT,"Ministry for Education and Employment",Governmental,2017,Yes,,Education,Certification,Blockchain,Considerable,Yes,Yes,"Disintermediation and decentralised networks",Pilot,"Ministry for Education and Employment",Governmental
case,10004,40002,Service,"Chromaway property transactions",http://chromaway.com/solutions,,"In real estate the value at stake is high, highlighting the importance of security and transparency of property transactions. Currently, transaction settlement in real estate is slow, costly and exposed to various business risks, including contested property deeds. This project attempts to tackle both the distrust between parties in real estate transfers and the speed of transactions. The project was initiated in September 2016 by the Swedish Mapping, Cadaster and Land Registration Authority, Landshypotek Bank, SBAB, Telia, Chromaway and Kairos Future. The project was set-up to redefine real estate transactions and mortgage deeds.",National,Sweden,SE,"Mapping, Cadaster and Land Registration Authority",Governmental,2016,Yes,,"General public services","Control and monitoring",Blockchain,Unknown,No,No,"Tracking of goods, supply chain, iot",Pilot,"Mapping, Cadaster and Land Registration Authority",Governmental
case,10004,40003,Service,"uPort decentralised identity",https://www.uport.me/,,"The City of Zug has launched a government-issued identity on the Ethereum blockchain, called uPort. The aim of the project is to provide a trusted and self-reliant blockchain-based identity to authenticate for e-government services and share personal data with third parties. The project itself does not focus on developing public services that would use the blockchain-based identity. From the citizen's perspective the Uport service allows for a selective disclosure of specific information to particular companies or governmental institutions giving citizens a full control and de facto ownership over their personal data.",Local,Switzerland,CH,"Municipality of Zug",Governmental,2017,Yes,,"General public services","Control and monitoring",Blockchain,Small,No,Yes,"Self-sovereign digital identity",Pilot,"Municipality of Zug",Governmental
case,10004,40004,Service,"Infrachain governance framework",https://digital-luxembourg.public.lu/initiatives/infrachain,,"Infrachain is a non-profit organisation, launched in November 2016 in Luxembourg. The aim of the organisation is to support the creation of independent and incorruptible nodes involved in the operation of blockchain instances. Infrachain develops a governance layer placed ‘on top’ of existing and future permissioned blockchains. The Infrachain governance framework gives attention to privacy protection, cyber-security, law enforcement and business continuity to the same degree as centralized systems. The framework postulates a separation of service and network layers and the establishment of a reference blockchain infrastructure, composed of independent nodes, hosting different public and private services.",National,Luxembourg,LU,Infrachain,Private,2016,Yes,,"General public services","Control and monitoring",Blockchain,Unknown,Yes,Yes,"Governance and voting",Pilot,Infrachain,Private
case,10004,40005,Service,"Pension infrastructure",https://www.apg.nl/en/article/APG%20en%20PGGM%20blockchain/937,,"The Pension Infrastructure (PI) is a complete community-based pension administration blockchain back-office. The aim of the project is to realize a more flexible and transparent pension administration system for citizens, while reducing significantly pension management costs. The project was initiated on the notion of the large similarities between blockchain payments and pension administration. In both systems actors have a personal balance and transactions between the balances occur.",National,Netherlands,NL,APG,Governmental,2018,Yes,,"Social protection","Financial support",Blockchain,Small,No,Yes,"Process digitisation",Pilot,APG,Governmental
case,10004,40006,Service,"Stadjerspas smart vouchers",https://stadjerspas.nl/,,"Stadjerspas is a fully operable service which uses blockchain infrastructure to provide discounted services to low-income citizens of the Municipality of Groningen. Promotion of inclusivity in the city via a voucher system started in 1994. Up until 2013 vouchers were completely paper-based. In 2016 the voucher system in Groningen was moved to a blockchain, developed by DutchChain, a technology provider company. The core value-added of the blockchain-based system is the enhanced targeting of public money thanks to programmable money flows. Detailed spending conditions and eligibility criteria are programmed in the smart contract. Possible criteria include: detailed profiles of the beneficiaries and authorized providers, financial thresholds or usage limits. Smart vouchers can be used, for example, in sport clubs, cinemas or for subsidization of solar panels for home owners. From the municipality perspective Stadjerspas ensures that public money reserved for a specified purpose is spent exclusively on that purpose and targeted at a desired group of beneficiaries.",Local,Netherlands,NL,"Municipality of Groningen",Governmental,2016,Yes,,"Social protection","Financial support",Blockchain,"Very large",No,Yes,"Disintermediation and decentralised networks","In production","Municipality of Groningen",Governmental
case,10005,50001,Service,"Blockchain pilot - Open Data notarization & change protocol",https://open.wien.gv.at/site/blockchain/,,"In December 2017, the City of Vienna published a unique solution in Europe that secures public administration data with blockchain. Nearly 4,000 open data resources are already being notarized and are publishing clear identifiers on public blockchains. The solution will be extended to all open government data on data.gv.at and will be used throughout Austria. Notarization for data and documents will become a general service ""BLOCKSTEMPEL"" in cooperation with the Austrian Federal Computing Centre.",Local,Austria,AT,"City of Vienna",Governmental,2017,Yes,,"General public services",Registration,Blockchain,Unknown,No,Yes,"Data notarisation","In production","City of Vienna",Governmental
case,10005,50002,Service,"Blockchain pilot - Digital food voucher",https://open.wien.gv.at/site/2-blockchain-pilot-der-stadt-wien-digitale-essensmarke/,,"Employees of the City of Vienna (CoV) receive food tokens in their digital wallets instead of paper food vouche for each working day. These can be redeemed at contract locations that transfer the token to the CoV to receive the value. The idea of the proof of concept is to optimize the whole process.The Proof of Concept will be evaluated. In the following phases of the project the actual implementation and the broad roll-out could take place for about 20,000 City-Vienna employees",Local,Austria,AT,"City of Vienna",Governmental,2020,Yes,,"Social protection","Financial support",Blockchain,Unknown,No,No,"Process digitisation","In development","City of Vienna",Governmental
case,10005,50003,Service,"Austrian Federal Government's Finance Agency, Oesterreichische Kontrollbank",https://www.coindesk.com/austrian-government-to-notarize-1-3-billion-bond-auction-using-ethereum/,,"The Austrian government is to use the ethereum blockchain to notarize the auction of a government bond worth €1.15 billion, or around $1.3 billion. The Federal Government’s Finance Agency (OeBFA) has assigned banking giant Oesterreichische Kontrollbank (OeKB) to carry out the auction on its behalf. The bank’s responsibilities will include deploying the notarisation service to authenticate auction transaction data and subsequently store it on the blockchain, the agency explained.“Blockchain technology offers great potential for increasing efficiency and ensuring the quality of bank processes. Therefore, we have been dealing with this topic intensively for some time now and have already tested several prototypes. Starting the real operation on behalf of OeBFA is a pleasing and logical next step.”",National,Austria,AT,"Finance Agency",Governmental,2018,Yes,,"Financial and fiscal affairs",Registration,Blockchain,Unknown,No,No,"Process digitisation","In development","Finance Agency",Governmental
case,10005,50004,Service,"BeSure - Demonstrability Service",https://medium.com/@cryptovnet/besure-a-realistic-blockchain-case-for-the-belgian-government-c5b8c62dff38,,"An analysis and PoC have been made for a demonstrability service. It generates long-term proofs that a digital document has been sent and that it has been received, without relying on central parties. Strong security & privacy requirements were paramount. Offering strong evidence with legal value that certain actions happened or did not happen.",National,Belgium,BE,"Smals Research",Governmental,2018,Yes,,"General public services",Certification,Blockchain,Unknown,No,Yes,"Data notarisation","In development","Smals Research",Governmental
case,10005,50005,Service,FlowBikes,https://flowbikes.io/,,"Rewarding children who go to school by foot/bike with tokens that are usable at the local fair or shops. Collaboration between local governement, school and Belfius Bank. Create a safer school environment. Guide children over the safest roads to school.",National,Belgium,BE,"Belfius Bank & Insurance",Private,2018,Yes,,"Social protection","Financial support",Blockchain,Unknown,No,No,"Reward systems","In production","Belfius Bank & Insurance",Private
case,10005,50006,Service,"A digital talent profile for maximum development",https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,,"The city of Antwerp is using the digital talent profile using blockchain to collect all the children’s talents and passions. Children can therefore make their own decisions as to who they would like to share which talents with and for how long. The digital talent profile will be implemented in a number of schools in Antwerp within the context of A’REA 2020. A’REA 2020’s global ambition is for children to be able to progress onto a professional career, based on their talents and passions.",Local,Belgium,BE,Digipolis,Governmental,2018,Yes,,Education,Certification,Blockchain,Unknown,No,No,"Self-sovereign digital identity","In production",Digipolis,Governmental
case,10005,50007,Service,"Privacy engine Antwerp City Platform as a Service",https://antwerpen.digipolis.be/en/blog/Blockchain-projects-in-Antwerp,,"This ACPaaS Privacy engine uses blockchain technology. It’s an innovative concept, whereby the engine functions as a gateway or middleware and subsequently protects all privacy-sensitive services and data.The Privacy engine ensures all privacy rules are respected and that applications satisfy the GDPR regulations. If a citizen grants his permission (i.e. consent), blockchain will guarantee the unaltered and irrefutable consent for the use of this data until the citizen withdraws his consent.",Local,Belgium,BE,Digipolis,Governmental,2018,Yes,,"General public services",Certification,Blockchain,Unknown,No,Yes,"Self-sovereign digital identity","In production",Digipolis,Governmental
case,10005,50008,Service,i-Voting,https://e-estonia.com/solutions/e-governance/,,"i-Voting is a unique solution that simply and conveniently helps to engage people in the governance process. In 2005, Estonia became the first country in the world to hold nation-wide elections using this method, and in 2007, it made headlines as the first country to use i-Voting in parliamentary elections. Internet voting, or i-Voting, is a system that allows voters to cast their ballots from any internet-connected computer anywhere in the world. Completely unrelated to the electronic voting systems used elsewhere, which involve costly and problematic machinery, the Estonian solution is simple, elegant and secure. During a designated pre-voting period, the voter logs onto the system using an ID-card or Mobile-ID, and casts a ballot. The voter’s identity is removed from the ballot before it reaches the National Electoral Commission for counting, thereby ensuring anonymity. With any method of remote voting, including traditional postal ballots, the possibility of votes being forced or bought is a concern. Estonia’s solution was to allow voters to log on and vote as many times as they want during the pre-voting period. Since each vote cancels the last, a voter always has the option of changing his or her vote later. In the case of i-Voting, the cumulative time saved in the last Estonian elections was 11,000 working days.",National,Estonia,EE,E-Estonia,Governmental,2007,Yes,,"General public services",Voting,Blockchain,Unknown,No,No,"Governance and voting","In production",E-Estonia,Governmental
case,10005,50009,Service,"X-Road Interoperability Services",https://e-estonia.com/solutions/security-and-safety/,,"X-Road is the backbone of e-Estonia. Invisible yet crucial, it allows the nation’s various public and private sector e-Service databases to link up and function in harmony. Estonia’s e-solution environment includes a full range of services for the general public, and since each service has its own databases they all use X-Road. To ensure secure transfers, all outgoing data from X-Road is digitally signed and encrypted, and all incoming data is authenticated and logged. Originally X-Road was simply used to send queries to different databases. Now it has developed into a tool that can also write to multiple databases, transmit large data sets and perform searches across several databases simultaneously. X-Road was designed with growth in mind, so it can be scaled up as new e-services and new platforms come online.",National,Estonia,EE,E-Estonia,Governmental,2007,Yes,,"General public services","Service integration",Blockchain,Unknown,No,Yes,Authentication,"In production",E-Estonia,Governmental
case,10005,50010,Service,"Health Records",https://e-estonia.com/solutions/healthcare/,,"Data security startup Guardtime has announced a partnership with the Estonian eHealth Foundation that will see it deploy a blockchain-based system to secure over 1 million patient healthcare records. Under the deal, the foundation will integrate Guardtime's keyless signature infrastructure (KSI) blockchain into the foundation's Oracle database engine to provide ""real-time visibility"" into the state of patient records.",National,Estonia,EE,E-Estonia,Governmental,2020,Yes,,Health,"Control and monitoring",Blockchain,Unknown,No,No,Authentication,"In production",E-Estonia,Governmental
case,10005,50011,Service,"Blockchain-based Keyless Signature Infrastructure (KSI)",https://e-estonia.com/solutions/security-and-safety/,,"KSI is a blockchain technology designed in Estonia and used globally to make sure networks, systems and data are free of compromise, all while retaining 100% data privacy. A blockchain is a distributed public ledger – a database with a set of pre-defined rules for how the ledger is appended by the distributed consensus of the participants in the system. Due to its widely witnessed property, blockchain technology makes it also impossible to change the data already on the blockchain. With KSI Blockchain deployed in Estonian government networks, history cannot be rewritten by anybody and the authenticity of the electronic data can be mathematically proven. It means that no-one – not hackers, not system administrators, and not even government itself – can manipulate the data and get away with that.",National,Estonia,EE,E-Estonia,Governmental,2007,Yes,,"General public services",Certification,Blockchain,Unknown,No,Yes,Cybersecurity,"In production",E-Estonia,Governmental
case,10005,50012,Project,"GIZ Blockchain Lab",http://www.giz.de/blockchain,,"Developing blockchain governance models in the context of the 2030 Agenda for Sustainable Development, the Lab engages the start-up ecosystem, governmental institutions, academia, and the business sector to identify and implement the most promising blockchain use cases for social good. Drive forward the maturity of decentralised governance models for a better world.",National,Germany,DE,"Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH",Private,2018,Yes,,"General public services",Innovation,Blockchain,Unknown,No,Yes,"Governance and voting","In production","Deutsche Gesellschaft für Internationale Zusammenarbeit (GIZ) GmbH",Private
case,10005,50013,Service,"Blockchain as Digital Enabler for the European Federalism in the Asylum Context",http://www.bamf.de/DE/DasBAMF/BAMFdigital/Blockchain/blockchain-node.html,,"Together with the German Federal office for Migration and Refugees, the Fraunhofer FIT and technology partners aim to migrate the current German asylum process on a blockchain-based system. This would help the participating nations to reduce the duration and error-rate of the European asylum process. Blockchain allows for cross-organizational refugee management. We deploy the process logic of participating organizations on the blockchain to fasten up and raise the integrity of each asylum process in Europe. BLC thus affords the establishment of a federal, national-agnostic ecosystem for the EU.",National,Germany,DE,"Federal office for Migration and Refugees",Governmental,2020,Yes,,"Social protection",Immigration,Blockchain,Unknown,Yes,No,Immigration,"In development","Federal office for Migration and Refugees",Governmental
case,10005,50014,Project,"Blockchain & Virtual Currencies Working Group",http://www.finance.gov.ie/what-we-do/shareholding-financial-advisory/virtual-currencies-blockchain-technology/,,"Ireland's Minister for Finance and Public Expenditure & Reform, Paschal Donohoe T.D announced the creation of an internal working group to monitor further developments in the areas of virtual currencies and blockchain technology. To provide clarity to consumers, investors and businesses on matters pertaining to blockchain and virtual currencies in Ireland.",National,Ireland,IE,"Ministry for Finance and Public Expenditure & Reform",Governmental,2020,Yes,,"Financial and fiscal affairs","Control and monitoring",Blockchain,Unknown,Yes,No,"Virtual currencies","In development","Ministry for Finance and Public Expenditure & Reform",Governmental
case,10005,50015,Service,"Securing the Internet of Things",https://www.fnlondon.com/articles/isle-of-man-government-on-blockchain-iot-quest-20160808,,"The Isle of Man partnered with the startup Credits, a blockchain infrastructure provider, to secure IoT technology. The collaborative effort plans on using a distributed ledger to enhance new IoT applications and devices. Credits claims its services enable a broad range of scalable and interoperable applications. The idea behind [the experiment] is that internet of things has a promise of assigning a unique, non-forgeable identity to physical items and what the blockchain provides is the way of managing and maintaining an identity.",Regional,"United Kingdom",GB,"Isle of Man",Governmental,2016,Yes,,"General public services","Control and monitoring",Blockchain,Unknown,No,Yes,"Tracking of goods, supply chain, iot","In development","Isle of Man",Governmental
case,10005,50016,Service,"Digital Currency Business Register",https://www.whereyoucan.com/Blog/Isle-of-Man-Blockchain-cluster-expansion.aspx,,"The Isle of Man Government's Department of Economic Development will create a stand-alone register of Island-based digital currency businesses using the protocol of this local Blockchain service. The Department of Economic Development sought to take a small sub-set of company data – namely the digital currency companies themselves – and secure this using the Blockchain. This is a proof of concept initiative and is not intended to be an alternative for any formal register or directory that the Isle of Man’s Financial Supervision Commission may introduce in the future.",Regional,"United Kingdom",GB,"Isle of Man",Governmental,2015,Yes,,"Financial and fiscal affairs",Registration,Blockchain,Unknown,No,No,"Process digitisation","In development","Isle of Man",Governmental
case,10005,50017,Service,"New solutions for the traceability of Italian food products",https://vigneviniequalita.edagricole.it/mercato/accordo-csqa-poligrafico-nuove-soluzioni-per-la-tracciabilita-dei-prodotti-agroalimentari-italiani/,,"CSQA Poligrafico agreement: new solutions for the traceability of Italian food products. A collaboration agreement has been signed between Poligrafico and Zecca of the Italian State and CSQA Certificazioni to carry out a project that strengthens the traceability of Italian PDO and PGI products and offers effective communication to consumers.The agreement is part of the framework of activities for the enhancement of quality supply chains, in order to make the professional skills and technological solutions necessary for the protection and promotion of the specialties of our country available to sector operators and citizens.",National,Italy,IT,"Italian Istituto Poligrafico e Zecca dello Stato",Governmental,2018,Yes,,Transport,"Control and monitoring",Blockchain,Unknown,No,No,"Tracking of goods, supply chain, iot","In development","Italian Istituto Poligrafico e Zecca dello Stato",Governmental
